"title","artists","date","duration","genre","award","nation"
"Can't Stop the Feeling!","Justin Timberlake","6 maggio 2016","3:56","Disco,,Funk,,Soul","4_platino","uk"
"Budapest","George Ezra","13 dicembre 2013","3:21","Folk,,Blues,,Pop rock","4_platino","uk"
"One Love","Blue","4 novembre 2002   21 ottobre 2003  ","","Pop","4_platino","uk"
"Castle on the Hill","Ed Sheeran","6 gennaio 2017","4:21","Folk pop,,Rock","4_platino","uk"
"Let Her Go","Passenger","24 luglio 2012","4:12","Folk rock","4_platino","uk"
"Unforgettable","French Montana","7 aprile 2017","3:53","Pop rap,,Dancehall reggae","4_platino","uk"
"Say You Won't Let Go","James Arthur","9 settembre 2016","3:31","Pop,,Folk","4_platino","uk"
"Cheerleader (Felix Jaehn Remix)","Omi","19 maggio 2014","3:01","Deep house","4_platino","uk"
"Cheap Thrills","Sia","17 dicembre 2015","3:30","Tropical house","4_platino","uk"
"Pompeii","Bastille","24 febbraio 2013","3:34","Synth pop","4_platino","uk"
"Sorry","Justin Bieber","23 ottobre 2015","3:21","Tropical house","4_platino","uk"
"All I Want for Christmas Is You","Mariah Carey","1º novembre 1994","4:01","","4_platino","uk"
"Love Yourself","Justin Bieber","9 dicembre 2015","3:53","Musica acustica","4_platino","uk"
"New Rules","Dua Lipa","15 luglio 2017","3:29","Elettropop,,Musica tropicale,,Pop","4_platino","uk"
"Take Me to Church","Hozier","13 settembre 2013 – (vedi date di pubblicazione)","4:05","Soul,,Blues,,Indie rock","4_platino","uk"
"Hello","Adele","23 ottobre 2015","4:55","Ballata,,Pop soul","4_platino","uk"
"Someone like You","Adele","15 febbraio 2011","4:45","Pop soul,,Blues","4_platino","uk"
"Wake Me Up","Avicii","17 giugno 2013","4:09","Progressive house,,Alternative dance,,Folktronica","4_platino","uk"
"Dance Monkey","Tones and I","10 maggio 2019","3:29","Elettropop","4_platino","uk"
