"title","artists","date","duration","genre","award","nation"
"7 Years","Lukas Graham","18 settembre 2015","3:59","Pop soul","4_platino","dk"
"All of Me","John Legend","12 agosto 2013","4:29","Ballata","4_platino","dk"
"Hall of Fame","The Script","19 agosto 2012","3:20","Pop rock,,Pop rap","4_platino","dk"
"Let Her Go","Passenger","24 luglio 2012","4:12","Folk rock","4_platino","dk"
"Thrift Shop","Macklemore & Ryan Lewis","28 agosto 2012","3:55","Hipster hop","4_platino","dk"
"Sorry","Justin Bieber","23 ottobre 2015","3:21","Tropical house","4_platino","dk"
"What Do You Mean?","Justin Bieber","28 agosto 2015","3:27","Tropical house","4_platino","dk"
"Thinking Out Loud","Ed Sheeran","7 novembre 2014","4:42","Soul bianco","4_platino","dk"
"Somebody That I Used to Know","Gotye","6 luglio 2011","4:04","Art pop","4_platino","dk"
"Radioactive","Imagine Dragons","29 ottobre 2012","3:07","Rock elettronico,,Indietronica","4_platino","dk"
"Diamonds","Rihanna","27 settembre 2012","3:45","Musica elettronica,,Pop,,Soul","4_platino","dk"
"Call Me Maybe","Carly Rae Jepsen","10 Maggio 2011","3:13","Dance pop,,Teen pop,,Pop","4_platino","dk"
