"title","artists","date","duration","genre","award","nation"
"1,2 Step","Ciara","15 agosto 2004   11 aprile 2005  ","3:23","Dance pop,,Contemporary R&B","3_platino","usa"
"Back That Azz Up","Juvenile","giugno 1999","4:25","Southern hip hop,,Gangsta rap,,Bounce music,,Hardcore hip hop","3_platino","usa"
"Again","Fetty Wap","13 agosto 2015","5:13","Pop rap","3_platino","usa"
"Am I Wrong","Nico & Vinz","12 aprile 2013","4:07 (extended version) – 3:39 (radio edit)","Pop,,Afrobeat","3_platino","usa"
"Back in Black","AC/DC","1981","4:15","Hard rock,,Rock and roll,,Heavy metal,,Blues rock","3_platino","usa"
"Baby","Brandy","24 dicembre 1994","5:13","New jack swing,,Contemporary R&B,,Hip hop soul","3_platino","usa"
"22","Taylor Swift","13 marzo 2013","3:52","Dance pop,,Pop","3_platino","usa"
"Bad Day","Daniel Powter","8 febbraio 2005   27 giugno 2005   25 luglio  2005   15 febbraio 2006 ","3:52","Pop rock,,Soft rock,,Rock alternativo,,Piano rock","3_platino","usa"
"Adore You","Harry Styles","6 dicembre 2019","3:27","Soul,,Pop rock","3_platino","usa"
"Amarillo","J Balvin","19 marzo 2020","2:37","Reggaeton","3_platino","usa"
"Acquainted","The Weeknd","2 febbraio 2016","5:49","Contemporary R&B","3_platino","usa"
"Bad (Wale)","Wale","5 febbraio 2013","4:18","Pop rap","3_platino","usa"
"All I Do Is Win","DJ Khaled","8 febbraio 2010","3:52","Hip hop","3_platino","usa"
"Bangarang","Skrillex","24 gennaio 2012","3:35","Dubstep","3_platino","usa"
"Beautiful","Bazzi","2 luglio 2017","2:58","Pop","3_platino","usa"
"'03 Bonnie & Clyde","Jay-Z","10 ottobre 2002","3:25","East Coast hip hop,,Contemporary R&B","3_platino","usa"
"Apologize","Timbaland","6 novembre 2007","3:06","Contemporary R&B,,Pop rock","3_platino","usa"
"Beautiful","Eminem","12 maggio 2009","6:32 (versione album) 4:15 (versione radio)","Alternative hip hop","3_platino","usa"
"Ballin'","Mustard,Roddy Ricch","20 agosto 2019","3:00","Hip hop","3_platino","usa"
"BedRock","AA.VV.","15 marzo 2010","4:48","Dirty rap","3_platino","usa"
"Be Careful","Cardi B","30 marzo 2018","3:30","Hip hop","3_platino","usa"
"Blow Me (One Last Kiss)","Pink","3 luglio 2012","4:16","Dance rock","3_platino","usa"
"Always Be My Baby","Mariah Carey","9 marzo 1996","4:18","Contemporary R&B","3_platino","usa"
"The Bones","Maren Morris","20 maggio 2019","3:17","Country pop,,Pop","3_platino","usa"
"Bartier Cardi","Cardi B","22 dicembre 2017","3:44","Trap","3_platino","usa"
"Because of You","Ne-Yo","4 febbraio 2007","3:47","Contemporary R&B","3_platino","usa"
"10,000 Hours","Dan + Shay,Justin Bieber","4 ottobre 2019","2:47","Country pop","3_platino","usa"
"Brave","Sara Bareilles","23 aprile 2013","3:39","Pop","3_platino","usa"
"Ain't It Fun","Paramore","4 febbraio 2014","4:56","Pop rock,,New wave,,Funk rock","3_platino","usa"
"Berzerk","Eminem","25 agosto 2013","3:58","Rap rock","3_platino","usa"
"Changes","XXXTentacion","2 marzo 2018","2:02","Pop soul,,Alternative R&B,,Ambient pop","3_platino","usa"
"Break Free","Ariana Grande","3 luglio 2014","3:34","Electronic dance music","3_platino","usa"
"Celoso","Lele Pons","17 agosto 2018","3:00","Pop","3_platino","usa"
"Break Your Heart","Taio Cruz","14 settembre 2009","3:23","Dance pop","3_platino","usa"
"Call Out My Name","The Weeknd","10 aprile 2018","3:48","Alternative R&B,,Soul","3_platino","usa"
"Come On Get Higher","Matt Nathanson","11 febbraio 2008","3:34","Pop rock,,Rock alternativo","3_platino","usa"
"Buy U a Drank (Shawty Snappin')","T-Pain","20 febbraio 2007","3:48","Contemporary R&B,,Snap music","3_platino","usa"
"Boyfriend","Justin Bieber","26 marzo 2012","2:52","Elettropop","3_platino","usa"
"Cheerleader (Felix Jaehn Remix)","Omi","19 maggio 2014","3:01","Deep house","3_platino","usa"
"Bottoms Up","Trey Songz","27 giugno 2010","4:02","Hip hop,,Contemporary R&B","3_platino","usa"
"Cool Kids","Echosmith","31 maggio 2013","3:35","Indie pop,,Pop rock","3_platino","usa"
"Bury a Friend","Billie Eilish","30 gennaio 2019","3:13","Musica elettronica,,Industrial","3_platino","usa"
"Castle on the Hill","Ed Sheeran","6 gennaio 2017","4:21","Folk pop,,Rock","3_platino","usa"
"Controlla","Drake","7 giugno 2016","4:05","Dancehall reggae","3_platino","usa"
"Bring Me to Life","Evanescence","22 aprile 2003","3:57","Nu metal","3_platino","usa"
"Boom Clap","Charli XCX","17 giugno 2014","2:49","Synth pop","3_platino","usa"
"Come and See Me","PartyNextDoor","23 marzo 2016","3:55","Alternative R&B","3_platino","usa"
"Clarity","Zedd","1º febbraio 2013","4:31","Electro house,,Progressive house,,Soulful house","3_platino","usa"
"Chandelier","Sia","17 marzo 2014","3:36","Elettropop","3_platino","usa"
"Country Girl (Shake It for Me)","Luke Bryan","14 marzo 2011","3:45","Country","3_platino","usa"
"The Climb","Miley Cyrus","5 marzo 2009","3:55","Country pop","3_platino","usa"
"Clique","Kanye West,Jay-Z,Big Sean","6 settembre 2012","4:54","Hip hop","3_platino","usa"
"Cowboy Casanova","Carrie Underwood","14 settembre 2009","3:53","Country","3_platino","usa"
"Circus","Britney Spears","2 dicembre 2008","3:12","Dance pop,,Elettropop","3_platino","usa"
"Count on Me","Bruno Mars","8 novembre 2011","3:17","Pop,,Reggae fusion","3_platino","usa"
"Dead and Gone","T.I.","7 ottobre 2008 (Originale)  4 febbraio 2009  (Ristampa)","4:59","Alternative hip hop","3_platino","usa"
"Crazy","Gnarls Barkley","11 gennaio 2006","2:58","Neo soul,,Pop rock","3_platino","usa"
"Confident","Demi Lovato","18 settembre 2015","3:25","Pop rock,,Elettropop","3_platino","usa"
"Don't Stop Me Now","Queen","26 gennaio 1979","3:31","Piano rock,,Rock and roll","3_platino","usa"
"Come & Get It","Selena Gomez","8 aprile 2013","3:51","Elettropop","3_platino","usa"
"Break Up with Your Girlfriend, I'm Bored","Ariana Grande","12 febbraio 2019","3:10","Pop,,Contemporary R&B,,Trap","3_platino","usa"
"DNA","Kendrick Lamar","14 aprile 2017","3:05","Hip hop,,Trap,,Hardcore hip hop","3_platino","usa"
"Drive By","Train","10 gennaio 2012","3:16","Pop rock,,Roots rock,,Folk rock","3_platino","usa"
"Drunk in Love","Beyoncé","17 dicembre 2013","5:23","Trap","3_platino","usa"
"Don't Matter","Akon","18 gennaio 2007","4:22","Reggae,,Contemporary R&B","3_platino","usa"
"The Diary Of Jane","Breaking Benjamin","6 giugno 2006","3:20","Alternative metal,,Post-grunge","3_platino","usa"
"Don't","Ed Sheeran","12 agosto 2014","3:40","Contemporary R&B,,Soul bianco","3_platino","usa"
"Dangerous Woman","Ariana Grande","11 marzo 2016","3:53","","3_platino","usa"
"Dust in the Wind","Kansas","gennaio 1978","3:27","Soft rock","3_platino","usa"
"Échame la culpa","Luis Fonsi,Demi Lovato","17 novembre 2017","2:53","Reggaeton,,Pop","3_platino","usa"
"Ex's & Oh's","Elle King","23 settembre 2014","3:22","Rock alternativo,,Blues rock,,Southern rock","3_platino","usa"
"Dancing with a Stranger","Sam Smith,Normani","11 gennaio 2019","2:50","Contemporary R&B,,Disco,,Pop","3_platino","usa"
"Everything I Wanted","Billie Eilish","13 novembre 2019","4:05","Elettropop","3_platino","usa"
"Crazy in Love","Beyoncé","18 maggio 2003","3:56","Contemporary R&B,,Funk,,Hip hop","3_platino","usa"
"Go Flex","Post Malone","21 aprile 2016","3:01","Country pop","3_platino","usa"
"Fantasy","Mariah Carey","12 settembre 1995","4:04","Dance pop,,Teen pop","3_platino","usa"
"Fortunate Son","Creedence Clearwater Revival","1969","2:22","Roots rock,,Southern rock,,Blues rock,,Hard rock","3_platino","usa"
"Eye of the Tiger","Survivor","8 maggio 1982","4:05","Hard rock,,Album-oriented rock","3_platino","usa"
"Fuck Up Some Commas","Future","2 marzo 2015","3:57","Trap","3_platino","usa"
"Feel This Moment","Pitbull","22 febbraio 2013","3:49","Disco,,Dance pop","3_platino","usa"
"Girl Crush","Little Big Town","15 dicembre 2014","3:13","Soul bianco,,Country","3_platino","usa"
"Faded","Alan Walker","3 dicembre 2015","3:33","Elettropop","3_platino","usa"
"(Everything I Do) I Do It for You","Bryan Adams","18 giugno 1991","6:34,(versione album),,4:06,(versione ridotta)","Pop rock,,Soft rock,,Power ballad","3_platino","usa"
"Girls Need Love","Summer Walker","26 luglio 2018","2:20","Contemporary R&B","3_platino","usa"
"Find Your Love","Drake","5 maggio 2010","3:29","Synth pop","3_platino","usa"
"Feels","Calvin Harris","16 giugno 2017","3:43","Disco,,Ska","3_platino","usa"
"Give Your Heart a Break","Demi Lovato","23 gennaio 2012","3:25","Pop","3_platino","usa"
"Empire State of Mind","Jay-Z","13 novembre 2009","4:37","Contemporary R&B,,Hip hop","3_platino","usa"
"Good Girl","Carrie Underwood","febbraio 2012","3:25","Country rock,,Country","3_platino","usa"
"How Deep Is Your Love","Calvin Harris,Disciples","17 luglio 2015","3:32","Deep house","3_platino","usa"
"Glamorous","Fergie","23 gennaio 2007   7 marzo 2007    19 marzo 2007  (Regno Unito)","3:17,(Radio Edit),4:06 (Album version)","Contemporary R&B,,Pop rap","3_platino","usa"
"Good for You","Selena Gomez","22 giugno 2015","3:40","Pop,,Electro-R&B","3_platino","usa"
"Glad You Came","The Wanted","10 luglio 2011","3:17","Dance pop","3_platino","usa"
"Falling","Trevor Daniel","5 ottobre 2018","2:39","Pop rap","3_platino","usa"
"Don't Start Now","Dua Lipa","1º novembre 2019","3:03","Nu-disco","3_platino","usa"
"Heartless","Diplo","16 agosto 2019","2:49","Country pop,,Trap","3_platino","usa"
"Human","Christina Perri","18 novembre 2013","4:10","Pop","3_platino","usa"
"Have You Ever Seen the Rain?","Creedence Clearwater Revival","gennaio 1971","2:39","Rock,,Roots rock","3_platino","usa"
"Good as Hell","Lizzo","8 marzo 2016","2:39","Pop","3_platino","usa"
"Home","Daughtry","10 aprile 2007","4:15","Pop rock","3_platino","usa"
"I Hope","Gabby Barrett","29 luglio 2019","3:29","Country","3_platino","usa"
"The House That Built Me","Miranda Lambert","8 marzo 2010","3:56","Country","3_platino","usa"
"Got Money","Lil Wayne","27 maggio 2008","2:38","Pop rap,,Hip house","3_platino","usa"
"FourFiveSeconds","Rihanna,Kanye West,Paul McCartney","24 gennaio 2015","3:08","Pop soul","3_platino","usa"
