"title","artists","date","duration","genre","award","nation"
"Lovely","Billie Eilish,Khalid","19 aprile 2018","3:20","Indie pop","7_platino","au"
"Never Be Like You","Flume","16 gennaio 2016","3:55","Musica elettronica,,Elettropop","7_platino","au"
"Let Her Go","Passenger","24 luglio 2012","4:12","Folk rock","7_platino","au"
"I Fall Apart","Post Malone","17 ottobre 2017","3:43","Hip hop","7_platino","au"
"Cosby Sweater","Hilltop Hoods","26 ottobre 2014","3:37","Hip hop","7_platino","au"
"Dynamite","Taio Cruz","5 luglio 2010","3:23","Elettropop,,Dance pop","7_platino","au"
"Africa","Toto","1982","4:58","","7_platino","au"
"Grenade","Bruno Mars","28 settembre 2010","3:42","Pop,,Contemporary R&B","7_platino","au"
"Faded","Alan Walker","3 dicembre 2015","3:33","Elettropop","7_platino","au"
"Silence","Marshmello","11 agosto 2017","3:00","Electronic dance music","7_platino","au"
"Photograph","Ed Sheeran","11 maggio 2015","4:18","Soft rock","7_platino","au"
"The A Team","Ed Sheeran","1º maggio 2011  (vedi date di pubblicazione)","4:18","Pop","7_platino","au"
"In My Head","Jason Derulo","22 febbraio 2010","3:21","Contemporary R&B,,Rock elettronico","7_platino","au"
"Just the Way You Are","Bruno Mars","20 luglio 2010","3:40","Pop,,Contemporary R&B","7_platino","au"
"See You Again","Wiz Khalifa","10 marzo 2015","3:49","Pop rap","7_platino","au"
"Lose Yourself","Eminem","28 ottobre 2002","5:27","Rap rock,,Conscious hip hop","7_platino","au"
"Blurred Lines","Robin Thicke","26 marzo 2013","4:22","Pop rap,,Contemporary R&B","7_platino","au"
"All I Want for Christmas Is You","Mariah Carey","1º novembre 1994","4:01","","7_platino","au"
"Unforgettable","French Montana","7 aprile 2017","3:53","Pop rap,,Dancehall reggae","7_platino","au"
"Someone like You","Adele","15 febbraio 2011","4:45","Pop soul,,Blues","7_platino","au"
"Hello","Adele","23 ottobre 2015","4:55","Ballata,,Pop soul","7_platino","au"
"Waves","Dean Lewis","30 settembre 2016","4:01","","7_platino","au"
"Stitches","Shawn Mendes","5 maggio 2015","3:27","Country pop","7_platino","au"
"Only Girl (In the World)","Rihanna","10 settembre 2010","3:55","Eurodance","7_platino","au"
"Shake It Off","Taylor Swift","18 agosto 2014","3:39","Dance pop","7_platino","au"
"Sorry","Justin Bieber","23 ottobre 2015","3:21","Tropical house","7_platino","au"
"Whistle","Flo Rida","24 aprile 2012","3:45","Pop rap","7_platino","au"
"Young Dumb & Broke","Khalid","2 febbraio 2017","3:22","Contemporary R&B","7_platino","au"
"Rolling in the Deep","Adele","29 novembre 2010","3:48","Pop soul","7_platino","au"
"Wild Ones","Flo Rida","19 dicembre 2011","3:53","Hip house,,Dance pop","7_platino","au"
