"title","artists","date","duration","genre","award","nation"
"Lean On","Major Lazer,DJ Snake","2 marzo 2015","2:56","Moombahton,,Musica da ballo,,Bounce music","7_platino","it"
"I bambini fanno “ooh...”","Povia","febbraio 2005","3:35","Pop","7_platino","it"
"Vorrei ma non posto","J-Ax,Fedez","6 maggio 2016","3:47","Dancehall reggae","7_platino","it"
"Thinking Out Loud","Ed Sheeran","7 novembre 2014","4:42","Soul bianco","7_platino","it"
"Danza Kuduro","Don Omar","15 agosto 2010","3:19","Kuduro,,Reggaeton","7_platino","it"
"Something Just Like This","The Chainsmokers,Coldplay","22 febbraio 2017","4:07","Elettropop","7_platino","it"
"Rockabye","Clean Bandit","21 ottobre 2016","4:11","Dancehall reggae,,Tropical house,,Musica elettronica","7_platino","it"
"Take Me to Church","Hozier","13 settembre 2013 – (vedi date di pubblicazione)","4:05","Soul,,Blues,,Indie rock","7_platino","it"
