"title","artists","date","duration","genre","award","nation"
"Big Girls Don't Cry","Fergie","22 maggio 2007","4:21 (Versione Radio),4:28 (Versione Album)","Pop acustico,,Adult contemporary music","5_platino","au"
"Fast Car","Tracy Chapman","6 aprile 1988","4:56","Folk","5_platino","au"
"Beneath Your Beautiful","Labrinth","18 ottobre 2012","4:32","Contemporary R&B","5_platino","au"
"24K Magic","Bruno Mars","7 ottobre 2016","3:47","Funk,,Disco","5_platino","au"
"Don't Wanna Go Home","Jason Derulo","9 maggio 2011","3:25","Dance pop","5_platino","au"
"Fire and the Flood","Vance Joy","5 settembre 2014","4:09","Pop","5_platino","au"
"Geronimo","Sheppard","28 febbraio 2014","3:38","Indie pop","5_platino","au"
"7 Years","Lukas Graham","18 settembre 2015","3:59","Pop soul","5_platino","au"
"Better Now","Post Malone","5 giugno 2018","3:50","Pop","5_platino","au"
"Congratulations","Post Malone","31 gennaio 2017","3:40","Cloud rap,,Trap","5_platino","au"
"Blank Space","Taylor Swift","10 novembre 2014","3:51","Elettropop","5_platino","au"
"Don't You Worry Child","Swedish House Mafia","14 settembre 2012","3:32,(radio edit),,6:43,(extended mix)","Progressive house,,Electronic dance music","5_platino","au"
"Forever","Chris Brown","22 aprile 2008","4:38","Eurodance,,Eurodisco,,Dance pop","5_platino","au"
"Drag Me Down","One Direction","31 luglio 2015","3:12","Pop rock","5_platino","au"
"Girl on Fire","Alicia Keys","4 settembre 2012","3:44","Soul,,Contemporary R&B,,Pop","5_platino","au"
"Halo","Beyoncé","20 gennaio 2009","4:21","Pop","5_platino","au"
"Dancing with a Stranger","Sam Smith,Normani","11 gennaio 2019","2:50","Contemporary R&B,,Disco,,Pop","5_platino","au"
"Gangsta's Paradise","Coolio","8 agosto 1995","4:00","Gangsta rap,,Hardcore hip hop,,Conscious hip hop","5_platino","au"
"Chandelier","Sia","17 marzo 2014","3:36","Elettropop","5_platino","au"
"God's Plan","Drake","19 gennaio 2018","3:18","Pop rap","5_platino","au"
"Good Feeling","Flo Rida","29 agosto 2011","4:06","Elettropop,,Musica house","5_platino","au"
"Hot n Cold","Katy Perry","30 settembre 2008","3:40","Dance pop","5_platino","au"
"Humble","Kendrick Lamar","30 marzo 2017","2:58","Hip hop","5_platino","au"
"Die Young","Kesha","25 settembre 2012","3:34","Elettropop,,Dance pop,,Musica house","5_platino","au"
"Like I'm Gonna Lose You","Meghan Trainor","23 giugno 2015","3:45","Contemporary R&B,,Soul","5_platino","au"
"Love Yourself","Justin Bieber","9 dicembre 2015","3:53","Musica acustica","5_platino","au"
"Lucid Dreams","Juice WRLD","4 maggio 2018","4:00","Emo rap,,Pop rap,,Alternative R&B","5_platino","au"
"Hey, Soul Sister","Train","11 agosto 2009 (Stati Uniti)  marzo 2010 (Europa)","3:37","Pop rock,,Folk rock,,Roots rock","5_platino","au"
"Lego House","Ed Sheeran","11 novembre 2011","3:29","Pop rock","5_platino","au"
