"title","artists","date","duration","genre","award","nation"
"Gangsta's Paradise","Coolio","8 agosto 1995","4:00","Gangsta rap,,Hardcore hip hop,,Conscious hip hop","9_platino","usa"
"Fantasías","Rauw Alejandro,Farruko","29 agosto 2019","3:19","Urban","9_platino","usa"
"Low","Flo Rida","19 giugno 2007","3:49","Elettrorap","9_platino","usa"
"A Thousand Years","Christina Perri","18 ottobre 2011","4:47","Pop,,Piano rock","9_platino","usa"
"Bodak Yellow","Cardi B","16 giugno 2017","3:43","Hip hop,,Trap","9_platino","usa"
"I Like It","Cardi B,Bad Bunny,J Balvin","25 maggio 2018  (vedi date di pubblicazione)","4:13","Latin trap","9_platino","usa"
"Sorry","Justin Bieber","23 ottobre 2015","3:21","Tropical house","9_platino","usa"
"Havana","Camila Cabello","8 settembre 2017","3:36","Musica latina,,Pop","9_platino","usa"
"Sad!","XXXTentacion","2 marzo 2018","2:46","Cloud rap,,Emo rap,,Alternative R&B,,Pop rap","9_platino","usa"
"Just Dance","Lady Gaga","8 aprile 2008","4:02","","9_platino","usa"
