"title","artists","date","duration","genre","award","nation"
"The Sound of Silence","Simon & Garfunkel","Settembre 1965","3:05","Folk rock,,Rock,,Folk","4_platino","can"
"That's What I Like","Bruno Mars","30 gennaio 2017","3:26","Contemporary R&B","4_platino","can"
"Praying","Kesha","6 luglio 2017","3:50","Pop","4_platino","can"
"Rather Be","Clean Bandit","17 gennaio 2014","3:49","Synth pop,,Musica house,,Pop barocco","4_platino","can"
"Team","Lorde","13 settembre 2013","3:31","Art rock,,Alternative hip hop,,Musica minimalista","4_platino","can"
"Stay with Me","Sam Smith","14 aprile 2014","2:52","Pop soul","4_platino","can"
"Right Round","Flo Rida","27 gennaio 2009","3:23","Elettrorap,,Elettropop","4_platino","can"
"Waves","Mr Probz","22 novembre 2013","2:54","Hip hop","4_platino","can"
"Swalla","Jason Derulo","24 febbraio 2017","3:36","Elettropop,,Dance pop","4_platino","can"
"Solo","Clean Bandit","18 maggio 2018","3:42","Electronic dance music","4_platino","can"
"Strip That Down","Liam Payne","19 maggio 2017","3:24","Contemporary R&B,,Pop rap","4_platino","can"
"We Can't Stop","Miley Cyrus","3 giugno 2013","3:52","Dance pop","4_platino","can"
"We Are Never Ever Getting Back Together","Taylor Swift","13 agosto 2012  (date di pubblicazione)","3:11","Dance pop,,Bubblegum pop","4_platino","can"
"Story of My Life","One Direction","28 ottobre 2013","4:05","Pop","4_platino","can"
"Symphony","Clean Bandit","17 marzo 2017","3:32","Dance pop","4_platino","can"
"Set Fire to the Rain","Adele","4 luglio 2011","4:02","Pop,,Power ballad","4_platino","can"
"Try","Pink","6 settembre 2012","4:07","Pop rock,,Synth pop,,Power pop","4_platino","can"
"This Is What You Came For","Calvin Harris","29 aprile 2016","3:41","Electronic dance music","4_platino","can"
"Young Dumb & Broke","Khalid","2 febbraio 2017","3:22","Contemporary R&B","4_platino","can"
"When the Party's Over","Billie Eilish","17 ottobre 2018","3:16","Indie pop","4_platino","can"
"What Lovers Do","Maroon 5","30 agosto 2017","3:20","Pop","4_platino","can"
"When We Were Young","Adele","22 gennaio 2016","4:50","Pop soul","4_platino","can"
"Too Good","Drake","15 maggio 2016","4:23","Dancehall reggae","4_platino","can"
"We Don't Talk Anymore","Charlie Puth","24 maggio 2016","3:37","Tropical house","4_platino","can"
"Teenage Dream","Katy Perry","23 luglio 2010  (date di pubblicazione)","3:48","Pop,,Bubblegum pop","4_platino","can"
"When I Was Your Man","Bruno Mars","15 gennaio 2013","3:33","Pop,,Ballata","4_platino","can"
"Whatcha Say","Jason Derulo","5 maggio 2009","3:43","Pop,,Contemporary R&B","4_platino","can"
"Wrecking Ball","Miley Cyrus","25 agosto 2013","3:43","Elettropop","4_platino","can"
"Toosie Slide","Drake","3 aprile 2020","4:07","Trap","4_platino","can"
