"title","artists","date","duration","genre","award","nation"
"Demons","Imagine Dragons","7 maggio 2013","2:57","Indie rock","8_platino","can"
"The Hills","The Weeknd","27 maggio 2015","4:02","Alternative R&B","8_platino","can"
"All About That Bass","Meghan Trainor","2 giugno 2014","3:10","Bubblegum pop,,Doo-wop","8_platino","can"
"Circles","Post Malone","30 agosto 2019","3:34","Pop psichedelico","8_platino","can"
"Boom Boom Pow","Black Eyed Peas,,accreditati come The Black Eyed Peas","20 marzo 2009","4:12","Elettropop","8_platino","can"
"Smack That","Akon","17 agosto 2006 (Stati Uniti)   13 novembre 2006  (Regno Unito)","3:32,(Album),,,2:44,(Versione inglese)","Contemporary R&B,,Hip hop","8_platino","can"
"Sunflower","Post Malone,Swae Lee","18 ottobre 2018","2:39","Ballata,,Dream pop,,Hip hop,,Pop","8_platino","can"
"Heathens","Twenty One Pilots","16 giugno 2016","3:15","Alternative hip hop","8_platino","can"
"Sicko Mode","Travis Scott","21 agosto 2018","5:12","Hip hop","8_platino","can"
"It Ain't Me","Kygo,Selena Gomez","16 febbraio 2017","3:40","Tropical house","8_platino","can"
"Congratulations","Post Malone","31 gennaio 2017","3:40","Cloud rap,,Trap","8_platino","can"
"Psycho","Post Malone","23 febbraio 2018","3:41","","8_platino","can"
"Better Now","Post Malone","5 giugno 2018","3:50","Pop","8_platino","can"
"Shallow","Lady Gaga,Bradley Cooper","27 settembre 2018","3:37","Country,,Folk pop","8_platino","can"
"What Makes You Beautiful","One Direction","11 settembre 2011","3:18","Power pop","8_platino","can"
"Blinding Lights","The Weeknd","29 novembre 2019","3:21","Elettropop,,Synth pop,,Synthwave","8_platino","can"
"Can't Feel My Face","The Weeknd","8 giugno 2015","3:35","Pop,,Funk,,Disco","8_platino","can"
"Poker Face","Lady Gaga","26 settembre 2008","3:59","","8_platino","can"
