"title","artists","date","duration","genre","award","nation"
"Crank That (Soulja Boy)","Soulja Boy Tell'em","2 maggio 2007","3:42","Snap music","5_platino","usa"
"24K Magic","Bruno Mars","7 ottobre 2016","3:47","Funk,,Disco","5_platino","usa"
"Body Like a Back Road","Sam Hunt","6 febbraio 2017","2:45","Country","5_platino","usa"
"Bad at Love","Halsey","22 agosto 2017","3:01","Elettropop","5_platino","usa"
"A Milli","Lil Wayne","23 aprile 2008","3:41","Southern hip hop","5_platino","usa"
"Day 'n' Nite","Kid Cudi","2008","2:43","Alternative hip hop,,Trip hop","5_platino","usa"
"Believer","Imagine Dragons","31 gennaio 2017","3:23","Indietronica,,Rock alternativo","5_platino","usa"
"Danza Kuduro","Don Omar","15 agosto 2010","3:19","Kuduro,,Reggaeton","5_platino","usa"
"All of the Lights","Kanye West","25 novembre 2010","4:59","Elettrorap","5_platino","usa"
"Blanco","J Balvin","15 novembre 2019","3:25","Reggaeton","5_platino","usa"
"Down on Me","Jeremih","12 ottobre 2010","3:48","Pop rap","5_platino","usa"
"Feel It Still","Portugal. The Man","3 marzo 2017","2:43","Pop psichedelico,,Funk","5_platino","usa"
"Bank Account","21 Savage","8 agosto 2017","3:40","Hip hop,,Trap","5_platino","usa"
"Drowning (Water)","A Boogie wit da Hoodie","10 marzo 2017","3:29","Trap,,Cloud rap","5_platino","usa"
"Don't You Worry Child","Swedish House Mafia","14 settembre 2012","3:32,(radio edit),,6:43,(extended mix)","Progressive house,,Electronic dance music","5_platino","usa"
"Demons","Imagine Dragons","7 maggio 2013","2:57","Indie rock","5_platino","usa"
"Cake by the Ocean","DNCE","18 settembre 2015","3:38","Dance pop,,Pop rock","5_platino","usa"
"Don't Stop Believin'","Journey","1981","4:11","Pop rock","5_platino","usa"
"Boo'd Up","Ella Mai","20 febbraio 2018","4:16","Contemporary R&B","5_platino","usa"
"Forever","Chris Brown","22 aprile 2008","4:38","Eurodance,,Eurodisco,,Dance pop","5_platino","usa"
"Boom Boom Pow","Black Eyed Peas,,accreditati come The Black Eyed Peas","20 marzo 2009","4:12","Elettropop","5_platino","usa"
"Girl on Fire","Alicia Keys","4 settembre 2012","3:44","Soul,,Contemporary R&B,,Pop","5_platino","usa"
"Billie Jean","Michael Jackson","2 gennaio 1983","4:54","Funk,,Pop,,Rhythm and blues","5_platino","usa"
"Habits (Stay High)","Tove Lo","6 dicembre 2013","3:28","Pop,,Elettropop","5_platino","usa"
"Goosebumps","Travis Scott","13 dicembre 2016","4:03","Trap","5_platino","usa"
"Gold Digger","Kanye West","2 agosto 2005","10:56","Hip hop,,Contemporary R&B","5_platino","usa"
"Gangnam Style","Psy","15 luglio 2012  (vedi date di pubblicazione)","3:41","K-pop,,Dance pop","5_platino","usa"
"How to love","Lil Wayne","13 giugno 2011","4:00","Pop,,Contemporary R&B","5_platino","usa"
"7 Rings","Ariana Grande","18 gennaio 2019","2:58","Pop rap,,Trap,,Contemporary R&B","5_platino","usa"
"i hate u, i love u","gnash","17 febbraio 2016","4:11","Pop","5_platino","usa"
"Going Bad","Meek Mill","22 gennaio 2019","3:00","Hip hop","5_platino","usa"
"Kryptonite","3 Doors Down","17 gennaio 2000","3:56","Rock alternativo,,Post-grunge","5_platino","usa"
"Issues","Julia Michaels","13 gennaio 2017","2:56","Pop","5_platino","usa"
"Heartless","Kanye West","5 novembre 2008","3:31","Synth pop,,Alternative hip hop","5_platino","usa"
"I Write Sins Not Tragedies","Panic! at the Disco","27 febbraio 2006","3:06","Pop barocco,,Pop punk,,Rock alternativo","5_platino","usa"
"Jumpman","Drake,Future","10 novembre 2015","3:25","Trap","5_platino","usa"
"Jocelyn Flores","XXXTentacion","29 agosto 2017","1:59","Emo rap,,Alternative R&B,,Cloud rap,,Downtempo","5_platino","usa"
"Hollaback Girl","Gwen Stefani","15 marzo 2005","3:20","Elettropop,,Pop rap","5_platino","usa"
"Gucci Gang","Lil Pump","31 agosto 2017","2:04","Trap","5_platino","usa"
"Hey, Soul Sister","Train","11 agosto 2009 (Stati Uniti)  marzo 2010 (Europa)","3:37","Pop rock,,Folk rock,,Roots rock","5_platino","usa"
"It Will Rain","Bruno Mars","27 settembre 2011","4:17","Soul,,Soft rock,,Contemporary R&B","5_platino","usa"
"Ho Hey","The Lumineers","4 giugno 2012","2:43","Indie folk","5_platino","usa"
"In My Feelings","Drake","10 luglio 2018","3:37","Bounce","5_platino","usa"
"Let You Down","NF","14 settembre 2017  (vedi date di pubblicazione)","3:32","Hip hop","5_platino","usa"
"Love Lies","Khalid,Normani","14 febbraio 2018","3:21","Contemporary R&B","5_platino","usa"
"Morado","J Balvin","9 gennaio 2020","3:20","Reggaeton","5_platino","usa"
"Lay Me Down","Sam Smith","15 febbraio 2013","4:13","Soul","5_platino","usa"
"I Fall Apart","Post Malone","17 ottobre 2017","3:43","Hip hop","5_platino","usa"
"I Knew You Were Trouble","Taylor Swift","14 novembre 2012","3:40","Elettropop,,Dubstep","5_platino","usa"
"Love Me like You Do","Ellie Goulding","7 gennaio 2015","4:12","Elettropop","5_platino","usa"
"Lollipop","Lil Wayne","11 marzo 2008","4:59","Elettropop,,Contemporary R&B,,Dirty rap","5_platino","usa"
"Love Me","Lil Wayne","18 gennaio 2013","4:15","Trap,,Dirty rap","5_platino","usa"
"Me, Myself & I","G-Eazy,Bebe Rexha","14 ottobre 2015","4:04","Pop rap,,Alternative hip hop","5_platino","usa"
"Niggas in Paris","Jay-Z,Kanye West","13 settembre 2011","3:39","Elettrorap,,Trap,,Hardcore hip hop,,Electro house","5_platino","usa"
"Panda","Desiigner","20 dicembre 2015","4:01","Trap","5_platino","usa"
"Lose Yourself","Eminem","28 ottobre 2002","5:27","Rap rock,,Conscious hip hop","5_platino","usa"
"One Time","Justin Bieber","18 maggio 2009","3:32","Teen pop,,Dance pop,,Contemporary R&B","5_platino","usa"
"Mo Bamba","Sheck Wes","16 giugno 2017","3:03","Trap","5_platino","usa"
"No Limit","G-Eazy","8 settembre 2017","4:05","Trap","5_platino","usa"
"Needed Me","Rihanna","30 marzo 2016","3:11","Dubstep,,Elettropop","5_platino","usa"
"Pursuit of Happiness","Kid Cudi","25 gennaio 2010","4:03","Trip hop,,Rock alternativo","5_platino","usa"
"Pop Out","Polo G","1 febbraio 2019","2:46","Trap","5_platino","usa"
"No Scrubs","TLC","23 marzo 1999","3:34","Dance pop,,Contemporary R&B","5_platino","usa"
"Panini","Lil Nas X","20 giugno 2019","1:54","","5_platino","usa"
"So Sick","Ne-Yo","17 gennaio 2006","3:27","Contemporary R&B","5_platino","usa"
"New Rules","Dua Lipa","15 luglio 2017","3:29","Elettropop,,Musica tropicale,,Pop","5_platino","usa"
"Roses","The Chainsmokers","16 giugno 2015","3:46","Synth pop","5_platino","usa"
"Rojo","J Balvin","27 febbraio 2020","2:30","Reggaeton","5_platino","usa"
"Pillowtalk","Zayn","29 gennaio 2016","3:23","Alternative R&B,,Downtempo,,Pop,,Contemporary R&B","5_platino","usa"
"Take Your Time","Sam Hunt","24 novembre 2014","4:02","Pop","5_platino","usa"
"Nice for What","Drake","6 aprile 2018","3:30","Hip hop","5_platino","usa"
