"title","artists","date","duration","genre","award","nation"
"Sex on Fire","Kings of Leon","5 settembre 2008","3:23","Rock alternativo","8_platino","au"
"Wonderwall","Oasis","30 ottobre 1995","4:19","Britpop,,Rock alternativo","8_platino","au"
"Someone You Loved","Lewis Capaldi","8 novembre 2018","3:02","Ballata","8_platino","au"
"Dark Horse","Katy Perry","17 dicembre 2013","3:35","Trap,,Grime","8_platino","au"
"Sicko Mode","Travis Scott","21 agosto 2018","5:12","Hip hop","8_platino","au"
"Rockstar","Post Malone","15 settembre 2017","3:38","Trap","8_platino","au"
"Take Me to Church","Hozier","13 settembre 2013 – (vedi date di pubblicazione)","4:05","Soul,,Blues,,Indie rock","8_platino","au"
"Bohemian Rhapsody","Queen","31 ottobre 1975","9:00","Rock progressivo,,Hard rock,,Art rock","8_platino","au"
"Without Me","Halsey","4 ottobre 2018","3:21","","8_platino","au"
"We Found Love","Rihanna","22 settembre 2011  (date di pubblicazione)","3:35","Electro house,,Dance pop","8_platino","au"
