"title","artists","date","duration","genre","award","nation"
"Born to Do It","Craig David","14 agosto 2000 (UK)  17 luglio 2001 (U.S.)","41:37","Contemporary R&B,,UK garage","4_platino","au"
"Call on Me","Starley","29 luglio 2016","2:41","Dance pop","4_platino","au"
"Don't","Ed Sheeran","12 agosto 2014","3:40","Contemporary R&B,,Soul bianco","4_platino","au"
"2002","Anne-Marie","20 aprile 2018","3:06","Pop","4_platino","au"
"Domino","Jessie J","29 agosto 2011","3:51","Bubblegum pop,,Disco","4_platino","au"
"Bangarang","Skrillex","24 gennaio 2012","3:35","Dubstep","4_platino","au"
"Counting Stars","OneRepublic","14 giugno 2013","4:17","Pop rock","4_platino","au"
"Can't Hold Us","Macklemore & Ryan Lewis","17 aprile 2013","4:18","Hipster hop,,Alternative hip hop,,Pop rap","4_platino","au"
"Attention","Charlie Puth","21 aprile 2017","3:31","Pop","4_platino","au"
"Everybody (Backstreet's Back)","Backstreet Boys","30 giugno 1997","3:47","Pop,,Dance pop","4_platino","au"
"Apologize","Timbaland","6 novembre 2007","3:06","Contemporary R&B,,Pop rock","4_platino","au"
"Don't Wake Me Up","Chris Brown","18 maggio 2012","3:42","Dance","4_platino","au"
"Cheap Thrills","Sia","17 dicembre 2015","3:30","Tropical house","4_platino","au"
"Fireflies","Owl City","14 luglio 2009","3:48","Synth pop","4_platino","au"
"Can't Feel My Face","The Weeknd","8 giugno 2015","3:35","Pop,,Funk,,Disco","4_platino","au"
"Dusk Till Dawn","Zayn","7 settembre 2017","4:27","Pop","4_platino","au"
"Fancy","Iggy Azalea","17 febbraio 2014","3:19","Elettrorap,,Trap","4_platino","au"
"Fight Song","Rachel Platten","19 febbraio 2015","3:22","Pop,,Power pop","4_platino","au"
"DJ Got Us Fallin' in Love","Usher","13 luglio 2010","3:42","Dance pop,,Pop rap,,Eurodance","4_platino","au"
"Free","Rudimental","23 ottobre 2013  (vedi date di pubblicazione)","5:06,(versione album),,3:36,(versione singolo)","Rock alternativo","4_platino","au"
"Boom Boom Pow","Black Eyed Peas,,accreditati come The Black Eyed Peas","20 marzo 2009","4:12","Elettropop","4_platino","au"
"Born This Way","Lady Gaga","11 febbraio 2011","4:20","Synth pop,,Elettropop,,Dance pop","4_platino","au"
"Feels","Calvin Harris","16 giugno 2017","3:43","Disco,,Ska","4_platino","au"
"Don't Start Now","Dua Lipa","1º novembre 2019","3:03","Nu-disco","4_platino","au"
"Five More Hours","Deorro,Chris Brown","3 marzo 2015","3:31","Dance pop,,Electro house","4_platino","au"
"I Like Me Better","Lauv","19 maggio 2017","3:17","Pop","4_platino","au"
"Good Time","Owl City","26 giugno 2012","3:25","Dance pop,,Synth pop","4_platino","au"
"I Love It","Icona Pop","9 maggio 2012","2:37","Elettropop,,Dance pop","4_platino","au"
"Girls Like You","Maroon 5","30 maggio 2018","3:55","Pop rock","4_platino","au"
"Let's Get Ridiculous","Redfoo","8 marzo 2013","3:18","Electro house","4_platino","au"
"Hall of Fame","The Script","19 agosto 2012","3:20","Pop rock,,Pop rap","4_platino","au"
"Little Lion Man","Mumford & Sons","11 agosto 2009","4:06 (versione dell'album),,3:30 (versione radiofonica)","Indie folk,,Folk rock,,Bluegrass","4_platino","au"
"I Won't Let You Go","James Morrison","25 agosto 2011","3:49","Pop","4_platino","au"
"Bad Romance","Lady Gaga","23 ottobre 2009","4:54","Dance pop","4_platino","au"
"Hangover","Taio Cruz","4 ottobre 2011","4:04","Hip house,,Rock elettronico","4_platino","au"
"Just a Dream","Nelly","17 agosto 2010  (vedi sotto)","3:57","Pop rap,,Contemporary R&B","4_platino","au"
