"title","artists","date","duration","genre","award","nation"
"Anywhere","Rita Ora","20 ottobre 2017","3:35","Dance pop,,Elettropop","2_platino","uk"
"7 Years","Lukas Graham","18 settembre 2015","3:59","Pop soul","2_platino","uk"
"A Million Dreams","Ziv Zaifman,,Hugh Jackman,,Michelle Williams","8 dicembre 2017","4:29","Pop","2_platino","uk"
"Airplanes","B.o.B","13 aprile 2010","3:01","Alternative hip hop,,Rap rock","2_platino","uk"
"24K Magic","Bruno Mars","7 ottobre 2016","3:47","Funk,,Disco","2_platino","uk"
"Attention","Charlie Puth","21 aprile 2017","3:31","Pop","2_platino","uk"
"Angels","Robbie Williams","1º dicembre 1997","4:24","Piano rock,,Pop","2_platino","uk"
"American Boy","Estelle","17 marzo 2008    22 marzo 2008   8 aprile 2008   18 aprile 2008 ","4:44,(album version),–4:01,(radio edit)","Hip hop,,Disco","2_platino","uk"
"Beneath Your Beautiful","Labrinth","18 ottobre 2012","4:32","Contemporary R&B","2_platino","uk"
"Before You Go","Lewis Capaldi","19 novembre 2019","3:36","Pop soul","2_platino","uk"
"Apologize","Timbaland","6 novembre 2007","3:06","Contemporary R&B,,Pop rock","2_platino","uk"
"Back for Good","Take That","27 marzo 1995","4:02","Pop","2_platino","uk"
"Believer","Imagine Dragons","31 gennaio 2017","3:23","Indietronica,,Rock alternativo","2_platino","uk"
"...Baby One More Time","Britney Spears","23 ottobre 1998","3:30","Dance pop,,Teen pop","2_platino","uk"
"Beautiful People","Ed Sheeran","28 giugno 2019","3:17","Pop soul","2_platino","uk"
"Better Now","Post Malone","5 giugno 2018","3:50","Pop","2_platino","uk"
"2002","Anne-Marie","20 aprile 2018","3:06","Pop","2_platino","uk"
"Adventure of a Lifetime","Coldplay","6 novembre 2015","4:23,(versione album),,3:43,(versione radiofonica)","Dance pop","2_platino","uk"
"Billie Jean","Michael Jackson","2 gennaio 1983","4:54","Funk,,Pop,,Rhythm and blues","2_platino","uk"
"Bitter Sweet Symphony","The Verve","16 giugno 1997","5:58","","2_platino","uk"
"Believe","Cher","19 ottobre 1998","3:59","Dance pop,,Eurodance,,Hi-NRG","2_platino","uk"
"Bleeding Love","Leona Lewis","19 ottobre 2007","4:24,(album version),,4:01,(radio edit)","Pop soul,,Contemporary R&B","2_platino","uk"
"Blue","Eiffel 65","7 ottobre 1998","4:48","Italodance,,Eurodance","2_platino","uk"
"Bloodstream","Ed Sheeran","23 giugno 2014","5:00","Musica acustica,,Rhythm and blues","2_platino","uk"
"Blank Space","Taylor Swift","10 novembre 2014","3:51","Elettropop","2_platino","uk"
"7 Rings","Ariana Grande","18 gennaio 2019","2:58","Pop rap,,Trap,,Contemporary R&B","2_platino","uk"
"Congratulations","Post Malone","31 gennaio 2017","3:40","Cloud rap,,Trap","2_platino","uk"
"Broken Strings","James Morrison","8 dicembre 2008   19 dicembre 2008  ","4:10","Pop rock","2_platino","uk"
"Call on Me","Starley","29 luglio 2016","2:41","Dance pop","2_platino","uk"
"Burn","Ellie Goulding","5 luglio 2013","3:48","Elettropop,,Dance pop","2_platino","uk"
"Dakota","Stereophonics","febbraio 2005","4:57,(album version),,4:01,(radio edit)","Rock alternativo","2_platino","uk"
"Don't","Ed Sheeran","12 agosto 2014","3:40","Contemporary R&B,,Soul bianco","2_platino","uk"
"Dog Days Are Over","Florence and the Machine","1º dicembre 2008","4:11","Folk rock,,Art rock,,Indie rock,,Art pop","2_platino","uk"
"Can't Get You out of My Head","Kylie Minogue","8 settembre 2001","4:11","Dance pop,,Nu-disco","2_platino","uk"
"Dance with Me Tonight","Olly Murs","18 novembre 2011","3:25","Pop,,Doo-wop","2_platino","uk"
"Children","Robert Miles","14 novembre 1995","3:49","Trance,,Dream progressive","2_platino","uk"
"Don't Be So Hard on Yourself","Jess Glynne","2015","3:31","Dance pop","2_platino","uk"
"Demons","Imagine Dragons","7 maggio 2013","2:57","Indie rock","2_platino","uk"
"Can't Feel My Face","The Weeknd","8 giugno 2015","3:35","Pop,,Funk,,Disco","2_platino","uk"
"Don't Call Me Up","Mabel","18 gennaio 2019","2:58","Tropical house,,Pop","2_platino","uk"
"Bring Me to Life","Evanescence","22 aprile 2003","3:57","Nu metal","2_platino","uk"
"Dark Horse","Katy Perry","17 dicembre 2013","3:35","Trap,,Grime","2_platino","uk"
"Dynamite","Taio Cruz","5 luglio 2010","3:23","Elettropop,,Dance pop","2_platino","uk"
"Don't Speak","No Doubt","15 aprile 1996    1997 ","4:23","Rock alternativo","2_platino","uk"
"Everywhere","Fleetwood Mac","1987","3:43","Pop rock","2_platino","uk"
"Don't Stop Me Now","Queen","26 gennaio 1979","3:31","Piano rock,,Rock and roll","2_platino","uk"
"Diamonds","Rihanna","27 settembre 2012","3:45","Musica elettronica,,Pop,,Soul","2_platino","uk"
"Fight Song","Rachel Platten","19 febbraio 2015","3:22","Pop,,Power pop","2_platino","uk"
"Elastic Heart","Sia","1º ottobre 2013","4:18","Elettropop","2_platino","uk"
"Fluorescent Adolescent","Arctic Monkeys","9 luglio 2007","2:57","Indie rock,,Garage rock,,Garage punk","2_platino","uk"
"Feel Good Inc","Gorillaz","9 maggio 2005","3:43","Funk rock,,Alternative hip hop","2_platino","uk"
"Fast Car","Tracy Chapman","6 aprile 1988","4:56","Folk","2_platino","uk"
"Fireflies","Owl City","14 luglio 2009","3:48","Synth pop","2_platino","uk"
"Faded","Alan Walker","3 dicembre 2015","3:33","Elettropop","2_platino","uk"
"Fight for This Love","Cheryl","2009","3:50","Pop,,Dance pop,,Rhythm and blues,,Contemporary R&B","2_platino","uk"
"Eastside","Benny Blanco,Halsey,Khalid","12 luglio 2018","2:53","Pop","2_platino","uk"
"Feel the Love","Rudimental","12 giugno 2012","3:39","Drum and bass","2_platino","uk"
"Ghost","Ella Henderson","6 giugno 2014","3:36","Pop","2_platino","uk"
"Eye of the Tiger","Survivor","8 maggio 1982","4:05","Hard rock,,Album-oriented rock","2_platino","uk"
"Feel It Still","Portugal. The Man","3 marzo 2017","2:43","Pop psichedelico,,Funk","2_platino","uk"
"Forever","Chris Brown","22 aprile 2008","4:38","Eurodance,,Eurodisco,,Dance pop","2_platino","uk"
"Go Your Own Way","Fleetwood Mac","gennaio 1977","3:36 (Album Version),5:48 (Live),5:00 (The Dance),4:53 (Rumours: 35th Anniversary)","Rock","2_platino","uk"
"Girls Like","Tinie Tempah","26 febbraio 2016","3:16","Dance pop,,Deep house","2_platino","uk"
"Freaky Friday","Lil Dicky","15 marzo 2018","3:40","Comedy hip hop,,Synth pop","2_platino","uk"
"Firework","Katy Perry","26 ottobre 2010","3:47","Dance pop,,Dance rock","2_platino","uk"
"Don't Start Now","Dua Lipa","1º novembre 2019","3:03","Nu-disco","2_platino","uk"
"(Everything I Do) I Do It for You","Bryan Adams","18 giugno 1991","6:34,(versione album),,4:06,(versione ridotta)","Pop rock,,Soft rock,,Power ballad","2_platino","uk"
"Grenade","Bruno Mars","28 settembre 2010","3:42","Pop,,Contemporary R&B","2_platino","uk"
"How Deep Is Your Love","Calvin Harris,Disciples","17 luglio 2015","3:32","Deep house","2_platino","uk"
"Hey There Delilah","Plain White T's","8 maggio 2006    3 settembre 2007  ","3:52","Folk","2_platino","uk"
"Feels","Calvin Harris","16 giugno 2017","3:43","Disco,,Ska","2_platino","uk"
"Friends","Marshmello,Anne-Marie","9 febbraio 2018","3:22","Electronic dance music,,Pop","2_platino","uk"
"Guilty","Blue","3 novembre 2003   25 dicembre 2003  ","","Pop","2_platino","uk"
"Hey, Soul Sister","Train","11 agosto 2009 (Stati Uniti)  marzo 2010 (Europa)","3:37","Pop rock,,Folk rock,,Roots rock","2_platino","uk"
"Hey Brother","Avicii","9 ottobre 2013","4:14","Country,,Electronic dance music,,Musica house","2_platino","uk"
"Hold On, We're Going Home","Drake","7 agosto 2013","3:47","Synth pop,,Contemporary R&B","2_platino","uk"
"Giant","Calvin Harris,Rag'n'Bone Man","11 gennaio 2019","3:49","Dance","2_platino","uk"
"Hideaway","Kiesza","11 aprile 2014","4:11","Dance pop","2_platino","uk"
"Hey Ya!","OutKast","9 settembre 2003","3:55","Pop,,Pop soul,,Pop rap","2_platino","uk"
"Hold Me While You Wait","Lewis Capaldi","3 maggio 2019","3:25","Pop","2_platino","uk"
"FourFiveSeconds","Rihanna,Kanye West,Paul McCartney","24 gennaio 2015","3:08","Pop soul","2_platino","uk"
"Girls Like You","Maroon 5","30 maggio 2018","3:55","Pop rock","2_platino","uk"
"Happier","Ed Sheeran","27 aprile 2018","3:26","Pop","2_platino","uk"
"High Hopes","Panic! at the Disco","23 maggio 2018","3:10","Pop rock,,Rock alternativo","2_platino","uk"
"Human","The Killers","22 settembre 2008","4:05","Dance rock,,Rock alternativo","2_platino","uk"
"i hate u, i love u","gnash","17 febbraio 2016","4:11","Pop","2_platino","uk"
"Hotel California","Eagles","22 febbraio 1977","6:08","","2_platino","uk"
"Humble","Kendrick Lamar","30 marzo 2017","2:58","Hip hop","2_platino","uk"
"Higher Love","Kygo,Whitney Houston","28 giugno 2019","3:48","Tropical house","2_platino","uk"
"I Miss You","Clean Bandit","27 ottobre 2017","3:25","Dance pop","2_platino","uk"
"Hymn for the Weekend","Coldplay","5 febbraio 2016","4:18","Pop","2_platino","uk"
"How You Remind Me","Nickelback","21 agosto 2001","3:43","Post-grunge,,Rock alternativo","2_platino","uk"
"Hotline Bling","Drake","31 luglio 2015","4:19","Dancehall reggae,,Afrobeat","2_platino","uk"
"In da Club","50 Cent","7 gennaio 2003","3:13","Gangsta rap","2_platino","uk"
"I Bet You Look Good on the Dancefloor","Arctic Monkeys","14 ottobre 2005","2:54","Indie rock,,Rock alternativo,,Garage punk","2_platino","uk"
"I Fall Apart","Post Malone","17 ottobre 2017","3:43","Hip hop","2_platino","uk"
"I Knew You Were Trouble","Taylor Swift","14 novembre 2012","3:40","Elettropop,,Dubstep","2_platino","uk"
"Heathens","Twenty One Pilots","16 giugno 2016","3:15","Alternative hip hop","2_platino","uk"
"I Took a Pill in Ibiza","Mike Posner","24 luglio 2015","4:42,(versione originale),,3:19,(SeeB Remix)","Pop,,Deep house,,(remix)","2_platino","uk"
"If I Could Turn Back the Hands of Time","R. Kelly","24 luglio 1999","6:19","Ballata,,Soul,,Gospel","2_platino","uk"
"I Will Wait","Mumford & Sons","agosto 2012","4:36","Folk rock,,Indie folk","2_platino","uk"
"Last Request","Paolo Nutini","3 luglio 2006","3:37","Folk rock","2_platino","uk"
"Just You and I","Tom Walker","19 maggio 2017 (versione acustica) – 11 gennaio 2019 (riedizione)","2:54","Pop rock","2_platino","uk"
"If I Were a Boy","Beyoncé","8 ottobre 2008","4:10","Pop","2_platino","uk"
"I Wanna Dance with Somebody (Who Loves Me)","Whitney Houston","2 giugno 1987","4:52","Dance pop","2_platino","uk"
"La La La","Naughty Boy","18 maggio 2013","3:43 (single version),,4:05 (video edit)","UK garage,,Pop","2_platino","uk"
"Killing in the Name","Rage Against the Machine","2 novembre 1992","5:14","Alternative metal,,Rap metal","2_platino","uk"
"I Will Always Love You","Dolly Parton","4 aprile 1974","2:55","Country","2_platino","uk"
"I Like It","Cardi B,Bad Bunny,J Balvin","25 maggio 2018  (vedi date di pubblicazione)","4:13","Latin trap","2_platino","uk"
"I'll Be Missing You","Puff Daddy","23 maggio 1997","5:09","East Coast hip hop,,Pop rap,,Ballata","2_platino","uk"
"I'll Be There","Jess Glynne","4 maggio 2018","3:13","Pop","2_platino","uk"
"In My Feelings","Drake","10 luglio 2018","3:37","Bounce","2_platino","uk"
"Killing Me Softly with His Song","Roberta Flack","21 gennaio 1973","","Soul","2_platino","uk"
"In the End","Linkin Park","1º ottobre 2001","3:36","Nu metal,,Rap rock","2_platino","uk"
"It Wasn't Me","Shaggy","11 settembre 2000","3:47","Reggae fusion","2_platino","uk"
"Into You","Ariana Grande","6 maggio 2016","4:04","Dance pop","2_platino","uk"
"I Want It That Way","Backstreet Boys","12 aprile 1999","3:30","Pop","2_platino","uk"
"IDGAF","Dua Lipa","12 gennaio 2018","3:38","Pop","2_platino","uk"
"Lost Without You","Freya Ridings","3 novembre 2017","3:45","Pop","2_platino","uk"
