"title","artists","date","duration","genre","award","nation"
"Earned It","The Weeknd","23 dicembre 2014","4:12","Contemporary R&B,,Pop barocco","7_platino","usa"
"Location","Khalid","26 agosto 2016","3:37","Contemporary R&B,,Alternative R&B","7_platino","usa"
"Love Story","Taylor Swift","12 settembre 2008  (date di pubblicazione)","3:56","Country pop","7_platino","usa"
"Bump n' Grind","R. Kelly","25 gennaio 1994","4:16","Contemporary R&B","7_platino","usa"
"7 Years","Lukas Graham","18 settembre 2015","3:59","Pop soul","7_platino","usa"
"I'm Not the Only One","Sam Smith","31 agosto 2014","3:59","Pop,,Pop soul","7_platino","usa"
"The Boy Is Mine","Brandy,Monica","19 maggio 1998","4:03","Contemporary R&B,,Hip hop soul","7_platino","usa"
"Look at Me Now","Chris Brown","1 febbraio 2011","3:43","Southern hip hop","7_platino","usa"
"Low","Flo Rida","19 giugno 2007","3:49","Elettrorap","7_platino","usa"
"Drip Too Hard","Lil Baby,Gunna","12 settembre 2018","2:25","Trap","7_platino","usa"
"The Lazy Song","Bruno Mars","15 febbraio 2011","3:08","Reggae fusion","7_platino","usa"
"I Knew You Were Trouble","Taylor Swift","14 novembre 2012","3:40","Elettropop,,Dubstep","7_platino","usa"
"The Box","Roddy Ricch","17 gennaio 2020","3:16","Trap","7_platino","usa"
"Party in the U.S.A.","Miley Cyrus","11 agosto 2009","3:22","Pop rock,,Pop,,Teen pop","7_platino","usa"
"Right Round","Flo Rida","27 gennaio 2009","3:23","Elettrorap,,Elettropop","7_platino","usa"
"Low Life","Future","1º marzo 2016","5:13","Trap,,Alternative R&B","7_platino","usa"
"Locked Out of Heaven","Bruno Mars","1º ottobre 2012","3:53","Reggae rock,,New wave,,Funk","7_platino","usa"
"Humble","Kendrick Lamar","30 marzo 2017","2:58","Hip hop","7_platino","usa"
"No One","Alicia Keys","10 settembre 2007","4:13","Soul,,Contemporary R&B","7_platino","usa"
"Life Is Good","Future","10 gennaio 2020","3:58","Trap","7_platino","usa"
"Hello","Adele","23 ottobre 2015","4:55","Ballata,,Pop soul","7_platino","usa"
"Stronger","Kanye West","31 luglio 2007","5:11","Elettrorap,,Breakbeat","7_platino","usa"
"Heathens","Twenty One Pilots","16 giugno 2016","3:15","Alternative hip hop","7_platino","usa"
"Un-Break My Heart","Toni Braxton","8 ottobre 1996","4:32","Pop soul","7_platino","usa"
"XO Tour Llif3","Lil Uzi Vert","26 febbraio 2017","3:02","Alternative hip hop,,Emo rap","7_platino","usa"
"That's What I Like","Bruno Mars","30 gennaio 2017","3:26","Contemporary R&B","7_platino","usa"
"Payphone","Maroon 5","17 aprile 2012","3:51","Pop rap,,Pop rock","7_platino","usa"
"Stitches","Shawn Mendes","5 maggio 2015","3:27","Country pop","7_platino","usa"
"You Belong with Me","Taylor Swift","4 novembre 2008","3:52","Country pop","7_platino","usa"
"Without Me","Halsey","4 ottobre 2018","3:21","","7_platino","usa"
