"title","artists","date","duration","genre","award","nation"
"Antidote","Travis Scott","28 luglio 2015","4:22","Trap,,Cloud rap","2_platino","can"
"Animal I Have Become","Three Days Grace","18 aprile 2006","3:51","Alternative metal,,Post-grunge","2_platino","can"
"Check on It","Beyoncé","13 dicembre 2005","3:31","Contemporary R&B,,Hip hop","2_platino","can"
"Be Kind","Marshmello,Halsey","1º maggio 2020","2:52","Electronic dance music","2_platino","can"
"3005","Childish Gambino","22 ottobre 2013","3:55","Alternative hip hop,,Elettrorap","2_platino","can"
"As Long as You Love Me","Justin Bieber","10 luglio 2012","3:49","Elettropop,,Dance","2_platino","can"
"Blah Blah Blah","Kesha","1º febbraio 2010","2:52","Elettropop,,Dance pop","2_platino","can"
"Bailando","Enrique Iglesias","28 marzo 2014","4:03","Pop latino,,Dance pop","2_platino","can"
"Berzerk","Eminem","25 agosto 2013","3:58","Rap rock","2_platino","can"
"Boom Clap","Charli XCX","17 giugno 2014","2:49","Synth pop","2_platino","can"
"Breaking Me","Topic,,A7S","19 dicembre 2019","2:46","Dance pop","2_platino","can"
"Born to Be Yours","Kygo,Imagine Dragons","15 giugno 2018","3:13","Musica house","2_platino","can"
"Black Widow","Iggy Azalea","13 agosto 2014","3:29","Trap","2_platino","can"
"Chasing Pavements","Adele","13 gennaio 2008","3:31","Soul,,Pop,,Blues,,Jazz","2_platino","can"
"2U","David Guetta","9 giugno 2017","3:15","Electronic dance music","2_platino","can"
"Come with Me Now","Kongos","15 dicembre 2012","3:31","Rock alternativo,,kwaito","2_platino","can"
"Back in Black","AC/DC","1981","4:15","Hard rock,,Rock and roll,,Heavy metal,,Blues rock","2_platino","can"
"Billionaire","Travie McCoy","9 marzo 2010","3:32,(Album),,3:40,(Radio Edit)","Alternative hip hop,,Reggae fusion","2_platino","can"
"Die for You","The Weeknd","28 ottobre 2016","4:20","Contemporary R&B","2_platino","can"
"Close to Me","Ellie Goulding,Diplo","24 ottobre 2018","3:02","Pop","2_platino","can"
"3","Britney Spears","2 ottobre 2009","3:33","Elettropop","2_platino","can"
"Come & Go","Juice Wrld,Marshmello","9 luglio 2020","3:25","","2_platino","can"
"Country Girl (Shake It for Me)","Luke Bryan","14 marzo 2011","3:45","Country","2_platino","can"
"Deja Vu","Post Malone","8 settembre 2016","3:50 (album version) - 3:30 (radio edit)","Alternative R&B","2_platino","can"
"Adventure of a Lifetime","Coldplay","6 novembre 2015","4:23,(versione album),,3:43,(versione radiofonica)","Dance pop","2_platino","can"
"Cross Me","Ed Sheeran","24 maggio 2019","3:26","Pop rap","2_platino","can"
"Dear Future Husband","Meghan Trainor","17 marzo 2015","3:04","Pop,,Doo-wop","2_platino","can"
"Billie Jean","Michael Jackson","2 gennaio 1983","4:54","Funk,,Pop,,Rhythm and blues","2_platino","can"
"Come & Get It","Selena Gomez","8 aprile 2013","3:51","Elettropop","2_platino","can"
