"title","artists","date","duration","genre","award","nation"
"Humble","Kendrick Lamar","30 marzo 2017","2:58","Hip hop","7_platino","can"
"Renegades","X Ambassadors","3 marzo 2015","3:15","Folk rock","7_platino","can"
"Rockstar","DaBaby","24 aprile 2020  (vedi date di pubblicazione)","3:01","Trap","7_platino","can"
"Faded","Alan Walker","3 dicembre 2015","3:33","Elettropop","7_platino","can"
"Believer","Imagine Dragons","31 gennaio 2017","3:23","Indietronica,,Rock alternativo","7_platino","can"
"I Kissed a Girl","Katy Perry","29 aprile 2008","3:01","","7_platino","can"
"Just the Way You Are","Bruno Mars","20 luglio 2010","3:40","Pop,,Contemporary R&B","7_platino","can"
"Mi gente","J Balvin,Willy William","30 giugno 2017","3:09","Pop latino,,Reggaeton","7_platino","can"
"Love Yourself","Justin Bieber","9 dicembre 2015","3:53","Musica acustica","7_platino","can"
"I'm the One","DJ Khaled","28 aprile 2017","4:48","Pop rap","7_platino","can"
"I Took a Pill in Ibiza","Mike Posner","24 luglio 2015","4:42,(versione originale),,3:19,(SeeB Remix)","Pop,,Deep house,,(remix)","7_platino","can"
"Rockabye","Clean Bandit","21 ottobre 2016","4:11","Dancehall reggae,,Tropical house,,Musica elettronica","7_platino","can"
"Royals","Lorde","8 marzo 2013","3:09","Art pop,,Elettropop","7_platino","can"
"Set Fire to the Rain","Adele","4 luglio 2011","4:02","Pop,,Power ballad","7_platino","can"
"Shut Up and Dance","Walk the Moon","10 settembre 2014","3:17","Dance rock,,New wave,","7_platino","can"
"Give Me Everything","Pitbull","22 marzo 2011","4:16","Hip house,,Electro house,,Dance pop","7_platino","can"
"Dark Horse","Katy Perry","17 dicembre 2013","3:35","Trap,,Grime","7_platino","can"
"Stitches","Shawn Mendes","5 maggio 2015","3:27","Country pop","7_platino","can"
"New Rules","Dua Lipa","15 luglio 2017","3:29","Elettropop,,Musica tropicale,,Pop","7_platino","can"
"Stay","Zedd,Alessia Cara","23 febbraio 2017","3:30","Dance pop","7_platino","can"
"Señorita","Shawn Mendes,Camila Cabello","21 giugno 2019","3:10","Pop","7_platino","can"
"Sorry","Justin Bieber","23 ottobre 2015","3:21","Tropical house","7_platino","can"
"Bad Romance","Lady Gaga","23 ottobre 2009","4:54","Dance pop","7_platino","can"
"Wow","Post Malone","24 dicembre 2018","2:29","Hip hop","7_platino","can"
"Timber","Pitbull","7 ottobre 2013","3:24","Dance pop,,Folktronica","7_platino","can"
"We Are Young","Fun.,Janelle Monáe","20 settembre 2011","4:10","Rock alternativo,,Indie pop,,Power pop","7_platino","can"
"Tik Tok","Kesha","7 agosto 2009","3:20","Elettropop","7_platino","can"
"Bohemian Rhapsody","Queen","31 ottobre 1975","9:00","Rock progressivo,,Hard rock,,Art rock","7_platino","can"
