"title","artists","date","duration","genre","award","nation"
"Blun7 a Swishland","Tha Supreme","8 novembre 2019","2:48","Hip hop","3_platino","it"
"Budapest","George Ezra","13 dicembre 2013","3:21","Folk,,Blues,,Pop rock","3_platino","it"
"La cintura","Álvaro Soler","29 marzo 2018","3:25","Pop latino","3_platino","it"
"Castle on the Hill","Ed Sheeran","6 gennaio 2017","4:21","Folk pop,,Rock","3_platino","it"
"Allenamento #2","Capo Plaza","17 marzo 2017","2:31","Trap","3_platino","it"
"Cara Italia","Ghali","26 gennaio 2018","4:04","Pop rap","3_platino","it"
"Cascare nei tuoi occhi","Ultimo","14 settembre 2018","3:46","Pop,,Pop rap","3_platino","it"
"Come nelle favole","Vasco Rossi","17 marzo 2017","4:13","Pop rock","3_platino","it"
"A un passo dalla Luna","Rocco Hunt,Ana Mena","3 luglio 2020","2:47","Bachata,,Reggaeton","3_platino","it"
"Completamente","Thegiornalisti","21 settembre 2016","3:36","Pop","3_platino","it"
"Baciami ancora","Jovanotti","8 gennaio 2010","4:36","Pop","3_platino","it"
"Il ballo delle incertezze","Ultimo","8 dicembre 2017","3:25","Pop","3_platino","it"
"D'estate non vale","Fred De Palma","15 giugno 2018","2:37","Reggaeton","3_platino","it"
"L'amore eternit","Fedez","27 marzo 2015","4:18","Pop rap","3_platino","it"
"Cake by the Ocean","DNCE","18 settembre 2015","3:38","Dance pop,,Pop rock","3_platino","it"
"4 Minutes","Madonna,Justin Timberlake","17 marzo 2008","4:04,(Album Version),,3:10,(Radio Edit)","Contemporary R&B","3_platino","it"
"Aserejé","Las Ketchup","15 maggio 2002","3:31","Pop latino","3_platino","it"
"Bad Guy","Billie Eilish","29 marzo 2019","3:14","","3_platino","it"
"Chantaje","Shakira","28 ottobre 2016","3:16","Pop latino","3_platino","it"
"Chiasso","Random","27 maggio 2019","3:02","Pop","3_platino","it"
"Come un pittore","Modà","6 aprile 2012","3:54","Pop rock,,Pop","3_platino","it"
"Dalla pelle al cuore","Antonello Venditti","ottobre - novembre 2007","4:18","Piano rock","3_platino","it"
"Da zero a cento","Baby K","22 giugno 2018","3:26","Reggaeton","3_platino","it"
"Blurred Lines","Robin Thicke","26 marzo 2013","4:22","Pop rap,,Contemporary R&B","3_platino","it"
"Danza Kuduro","Don Omar","15 agosto 2010","3:19","Kuduro,,Reggaeton","3_platino","it"
"Il conforto","Tiziano Ferro","13 gennaio 2017","3:56","Elettropop","3_platino","it"
"Call Me Maybe","Carly Rae Jepsen","10 Maggio 2011","3:13","Dance pop,,Teen pop,,Pop","3_platino","it"
"Dusk Till Dawn","Zayn","7 settembre 2017","4:27","Pop","3_platino","it"
"Don't Worry","Madcon","20 febbraio 2015","3:34","Pop,,Pop rap","3_platino","it"
"Don't Wanna Know","Maroon 5","11 ottobre 2016","3:34","Tropical house","3_platino","it"
"Freestyler","Bomfunk MC's","1º maggio 1999","3:31","Drum and bass,,Elettrorap","3_platino","it"
