"title","artists","date","duration","genre","award","nation"
"All of Me","John Legend","12 agosto 2013","4:29","Ballata","8_platino","it"
"Ai se eu te pego!","Michel Teló","25 luglio 2011","2:46","Musica latina,,Pop,,Pop latino,,Musica leggera,,Música sertaneja","8_platino","it"
"La musica non c'è","Coez","22 settembre 2017","3:42","Pop","8_platino","it"
"Senza pagare","J-Ax,Fedez","12 maggio 2017","3:30","Elettropop,,Pop rap","8_platino","it"
"Sofia","Álvaro Soler","8 aprile 2016","3:27","Pop latino","8_platino","it"
"Hymn for the Weekend","Coldplay","5 febbraio 2016","4:18","Pop","8_platino","it"
"El perdón","Nicky Jam,Enrique Iglesias","6 febbraio 2015","3:27","Reggaeton,,Urban","8_platino","it"
