"title","artists","date","duration","genre","award","nation"
"As Long as You Love Me","Justin Bieber","10 luglio 2012","3:49","Elettropop,,Dance","1_platino","usa"
"Always","Bon Jovi","20 settembre 1994","5:54","Pop rock,,Soft rock,,Power ballad","1_platino","usa"
"21 Guns","Green Day","25 maggio 2009","5:21","Rock alternativo,,Pop punk,,Power ballad","1_platino","usa"
"Backseat","New Boyz","15 febbraio 2011","3:44","Pop rap,,Synth pop","1_platino","usa"
"21 Questions","50 Cent","29 aprile 2003","3:47","Gangsta rap,,Contemporary R&B","1_platino","usa"
"Area Codes","Ludacris","26 giugno 2001","5:03","West Coast hip hop,,Contemporary R&B","1_platino","usa"
"All for You","Janet Jackson","26 marzo 2001","4:24","Disco,,Pop","1_platino","usa"
"Ain't No Other Man","Christina Aguilera","3 giugno 2006","3:48","Funk,,Pop,,Contemporary R&B","1_platino","usa"
"Ass Like That","Eminem","7 giugno 2005","","Dirty rap,,Comedy hip hop,,Pop rap","1_platino","usa"
"Amazing","Kanye West","10 marzo 2009","3:58","Alternative R&B,,Alternative hip hop","1_platino","usa"
"Anaconda","Nicki Minaj","4 agosto 2014","4:13","Trap,,Pop rap","1_platino","usa"
"Baby I","Ariana Grande","22 luglio 2013","3:17","Contemporary R&B,,Pop","1_platino","usa"
"Animals","Martin Garrix","17 giugno 2013","5:04","Electronic dance music","1_platino","usa"
"Baby-Baby-Baby","TLC","29 maggio 1992","5:36","Contemporary R&B,,New jack swing,,Hip hop soul","1_platino","usa"
"7 Things","Miley Cyrus","18 giugno 2008","3:33","Teen pop,,Pop rock","1_platino","usa"
"Arms Around You","XXXTentacion,Lil Pump","25 ottobre 2018","3:18","Tropical house,,Dance pop,,Reggaeton,,Contemporary R&B,,Pop rap,,Pop latino","1_platino","usa"
"All the Stars","Kendrick Lamar,SZA","4 gennaio 2018","3:55","Hip hop","1_platino","usa"
"All That She Wants","Ace of Base","novembre 1992","3:34","Dance pop,,Reggae fusion","1_platino","usa"
"All the Good Girls Go to Hell","Billie Eilish","6 settembre 2019  (vedi date di pubblicazione)","2:48","Pop","1_platino","usa"
