"title","artists","date","duration","genre","award","nation"
"Animals","Maroon 5","24 agosto 2014","3:49","New wave","2_platino","au"
"Addicted to You","Avicii","27 novembre 2013","2:28","Dance,,Soul","2_platino","au"
"Baby","Justin Bieber","19 febbraio 2010","3:38","Contemporary R&B","2_platino","au"
"Alarm","Anne-Marie","20 maggio 2016","3:25","Elettropop","2_platino","au"
"1999","Charli XCX,Troye Sivan","5 ottobre 2018","3:09","Eurodance","2_platino","au"
"3005","Childish Gambino","22 ottobre 2013","3:55","Alternative hip hop,,Elettrorap","2_platino","au"
"Axel F","Harold Faltermeyer","1984","3:01","Musica elettronica","2_platino","au"
"All We Know","The Chainsmokers","29 settembre 2016","3:14","Future bass","2_platino","au"
"All That She Wants","Ace of Base","novembre 1992","3:34","Dance pop,,Reggae fusion","2_platino","au"
"Back to You","Selena Gomez","10 maggio 2018","3:27","Dance pop,,Elettropop","2_platino","au"
"Amnesia","5 Seconds of Summer","5 settembre 2014","3:57","Pop punk","2_platino","au"
"10,000 Hours","Dan + Shay,Justin Bieber","4 ottobre 2019","2:47","Country pop","2_platino","au"
"22","Taylor Swift","13 marzo 2013","3:52","Dance pop,,Pop","2_platino","au"
"Ayo","Chris Brown,Tyga","6 gennaio 2015","3:46","Gangsta rap,,Contemporary R&B,,Elettrorap","2_platino","au"
"Always Be My Baby","Mariah Carey","9 marzo 1996","4:18","Contemporary R&B","2_platino","au"
"Are You With Me","Lost Frequencies","27 ottobre 2014","2:18","Deep house,,Dance","2_platino","au"
"Always","Bon Jovi","20 settembre 1994","5:54","Pop rock,,Soft rock,,Power ballad","2_platino","au"
"As Long as You Love Me","Justin Bieber","10 luglio 2012","3:49","Elettropop,,Dance","2_platino","au"
"Beautiful","Bazzi","2 luglio 2017","2:58","Pop","2_platino","au"
"Bad and Boujee","Migos","28 ottobre 2016","5:34,(Versione singolo),,,5:43,(Versione album),,,3:27,(Radio edit)","Trap","2_platino","au"
"Black Magic","Little Mix","21 maggio 2015","3:31","Dance pop","2_platino","au"
