"title","artists","date","duration","genre","award","nation"
"Body Like a Back Road","Sam Hunt","6 febbraio 2017","2:45","Country","9_platino","can"
"Cheerleader (Felix Jaehn Remix)","Omi","19 maggio 2014","3:01","Deep house","9_platino","can"
"Don't Let Me Down","The Chainsmokers","5 febbraio 2016","3:28","Dance pop","9_platino","can"
"Counting Stars","OneRepublic","14 giugno 2013","4:17","Pop rock","9_platino","can"
"Say You Won't Let Go","James Arthur","9 settembre 2016","3:31","Pop,,Folk","9_platino","can"
"Without Me","Halsey","4 ottobre 2018","3:21","","9_platino","can"
"Happy","Pharrell Williams","21 novembre 2013","3:53","Neo soul,,Funk,,Soul","9_platino","can"
"Girls Like You","Maroon 5","30 maggio 2018","3:55","Pop rock","9_platino","can"
"Lonely Boy","The Black Keys","25 novembre 2011","3:13","Hard rock,,Blues rock,,Garage rock,,Rock alternativo","9_platino","can"
"Roar","Katy Perry","10 agosto 2013","3:42","Power pop","9_platino","can"
"Havana","Camila Cabello","8 settembre 2017","3:36","Musica latina,,Pop","9_platino","can"
