"title","artists","date","duration","genre","award","nation"
"Dynamite","Taio Cruz","5 luglio 2010","3:23","Elettropop,,Dance pop","1_platino","dk"
"Disturbia","Rihanna","17 giugno 2008","3:58","Dance pop,,Elettropop","1_platino","dk"
"Domino","Jessie J","29 agosto 2011","3:51","Bubblegum pop,,Disco","1_platino","dk"
"Don't Stop Me Now","Queen","26 gennaio 1979","3:31","Piano rock,,Rock and roll","1_platino","dk"
"DJ Got Us Fallin' in Love","Usher","13 luglio 2010","3:42","Dance pop,,Pop rap,,Eurodance","1_platino","dk"
"Do It Again","Pia Mia","4 maggio 2015","3:27","","1_platino","dk"
"Crazy in Love","Beyoncé","18 maggio 2003","3:56","Contemporary R&B,,Funk,,Hip hop","1_platino","dk"
"Drunk in Love","Beyoncé","17 dicembre 2013","5:23","Trap","1_platino","dk"
"Do What U Want","Lady Gaga","21 ottobre 2013","3:47","Synth pop,,Dance pop","1_platino","dk"
"Cross Me","Ed Sheeran","24 maggio 2019","3:26","Pop rap","1_platino","dk"
"Born This Way","Lady Gaga","11 febbraio 2011","4:20","Synth pop,,Elettropop,,Dance pop","1_platino","dk"
"Drinking From the Bottle","Calvin Harris","27 gennaio 2013","4:00","Progressive house","1_platino","dk"
"Every Breath You Take","The Police","20 maggio 1983","4:14","Pop rock,,New wave,,Ballata,,Soft rock","1_platino","dk"
"Elastic Heart","Sia","1º ottobre 2013","4:18","Elettropop","1_platino","dk"
"Dusk Till Dawn","Zayn","7 settembre 2017","4:27","Pop","1_platino","dk"
"Feel It Still","Portugal. The Man","3 marzo 2017","2:43","Pop psichedelico,,Funk","1_platino","dk"
"Don't Stop the Music","Rihanna","7 settembre 2007","4:27","Dance pop,,Techno","1_platino","dk"
"Feliz Navidad","José Feliciano","1970","3:00","Pop,,Musica natalizia","1_platino","dk"
"Don't Stop Believin'","Journey","1981","4:11","Pop rock","1_platino","dk"
"Don't Start Now","Dua Lipa","1º novembre 2019","3:03","Nu-disco","1_platino","dk"
"Empire State of Mind","Jay-Z","13 novembre 2009","4:37","Contemporary R&B,,Hip hop","1_platino","dk"
"Everytime We Touch","Cascada","28 febbraio 2005  (Canada)  15 agosto 2005 (U.S.)5 gennaio 2007 (Germania)","3:16","Eurodance,,Hands up,,Dance pop","1_platino","dk"
"G.D.F.R.","Flo Rida","21 ottobre 2014","3:10","Trap","1_platino","dk"
"Everything I Wanted","Billie Eilish","13 novembre 2019","4:05","Elettropop","1_platino","dk"
"Feel This Moment","Pitbull","22 febbraio 2013","3:49","Disco,,Dance pop","1_platino","dk"
"Fireflies","Owl City","14 luglio 2009","3:48","Synth pop","1_platino","dk"
"Fast Car","Tracy Chapman","6 aprile 1988","4:56","Folk","1_platino","dk"
"Euphoria","Loreen","26 febbraio 2012","3:01","Electro house,,Eurodance,,Trance","1_platino","dk"
"Fancy","Iggy Azalea","17 febbraio 2014","3:19","Elettrorap,,Trap","1_platino","dk"
"Fight for This Love","Cheryl","2009","3:50","Pop,,Dance pop,,Rhythm and blues,,Contemporary R&B","1_platino","dk"
"Final Song","MØ","13 maggio 2016","3:55","Tropical house","1_platino","dk"
"Go Flex","Post Malone","21 aprile 2016","3:01","Country pop","1_platino","dk"
"Gentleman","Psy","12 aprile 2013  (vedi date di pubblicazione)","3:14","K-pop,,Electro house,,Hip house","1_platino","dk"
"Girls Like","Tinie Tempah","26 febbraio 2016","3:16","Dance pop,,Deep house","1_platino","dk"
"Give Me Everything","Pitbull","22 marzo 2011","4:16","Hip house,,Electro house,,Dance pop","1_platino","dk"
"Geronimo","Aura Dione","19 settembre 2011","3:15","Pop","1_platino","dk"
"Freaky Friday","Lil Dicky","15 marzo 2018","3:40","Comedy hip hop,,Synth pop","1_platino","dk"
"Girl on Fire","Alicia Keys","4 settembre 2012","3:44","Soul,,Contemporary R&B,,Pop","1_platino","dk"
"Feels","Calvin Harris","16 giugno 2017","3:43","Disco,,Ska","1_platino","dk"
"Give It 2 Me","Madonna","4 giugno 2008","4:48,(Album Version),,4:02,(Radio Edit)","Dance pop","1_platino","dk"
"Goodbyes","Post Malone","5 luglio 2019","2:54","Trap","1_platino","dk"
"Habits (Stay High)","Tove Lo","6 dicembre 2013","3:28","Pop,,Elettropop","1_platino","dk"
"Giant","Calvin Harris,Rag'n'Bone Man","11 gennaio 2019","3:49","Dance","1_platino","dk"
"Gimme More","Britney Spears","25 settembre 2007","4:11","Elettropop,,Dance","1_platino","dk"
"Happier","Marshmello,Bastille","17 agosto 2018","3:34","Electronic dance music","1_platino","dk"
"Heart Attack","Demi Lovato","24 febbraio 2013","3:31","Elettropop","1_platino","dk"
"Girls Like You","Maroon 5","30 maggio 2018","3:55","Pop rock","1_platino","dk"
"The Greatest","Sia","6 settembre 2016","3:30","Pop","1_platino","dk"
"Grenade","Bruno Mars","28 settembre 2010","3:42","Pop,,Contemporary R&B","1_platino","dk"
"Goosebumps","Travis Scott","13 dicembre 2016","4:03","Trap","1_platino","dk"
"Highway to Hell","AC/DC","1979","3:38","Hard rock,,Blues rock","1_platino","dk"
"Happy Xmas (War Is Over)","John Lennon,Yōko Ono","6 dicembre 1971  ","3:25","Musica natalizia,,Pop rock","1_platino","dk"
"Hey There Delilah","Plain White T's","8 maggio 2006    3 settembre 2007  ","3:52","Folk","1_platino","dk"
"Hands to Myself","Selena Gomez","26 gennaio 2016  (vedi date di pubblicazione)","3:20","Dance pop","1_platino","dk"
"Heathens","Twenty One Pilots","16 giugno 2016","3:15","Alternative hip hop","1_platino","dk"
"Happy","Pharrell Williams","21 novembre 2013","3:53","Neo soul,,Funk,,Soul","1_platino","dk"
"I Feel It Coming","The Weeknd","18 novembre 2016  (vedi date di pubblicazione)","4:29","Disco","1_platino","dk"
"Hey Ya!","OutKast","9 settembre 2003","3:55","Pop,,Pop soul,,Pop rap","1_platino","dk"
"Heroes (We Could Be)","Alesso","4 settembre 2014","3:29","Progressive house","1_platino","dk"
"Here Comes the Sun","The Beatles","1969","3:06","Folk rock,,Pop rock","1_platino","dk"
"Highest in the Room","Travis Scott","4 ottobre 2019","2:56","Trap","1_platino","dk"
"How Do You Sleep?","Sam Smith","19 luglio 2019","3:22","Pop,,Dance pop","1_platino","dk"
"High Hopes","Panic! at the Disco","23 maggio 2018","3:10","Pop rock,,Rock alternativo","1_platino","dk"
"I Wanna Dance with Somebody (Who Loves Me)","Whitney Houston","2 giugno 1987","4:52","Dance pop","1_platino","dk"
"I Gotta Feeling","Black Eyed Peas,,accreditati come The Black Eyed Peas","18 giugno 2009","4:49","Dance pop","1_platino","dk"
"Hotel California","Eagles","22 febbraio 1977","6:08","","1_platino","dk"
"Hey, Soul Sister","Train","11 agosto 2009 (Stati Uniti)  marzo 2010 (Europa)","3:37","Pop rock,,Folk rock,,Roots rock","1_platino","dk"
"I Won't Give Up","Jason Mraz","gennaio 2012","4:00","Folk rock,,Pop rock","1_platino","dk"
"Ho Hey","The Lumineers","4 giugno 2012","2:43","Indie folk","1_platino","dk"
"Hey Mama","David Guetta","16 marzo 2015","3:12","Trap,,Electro house,,Dance pop","1_platino","dk"
"I Love It","Icona Pop","9 maggio 2012","2:37","Elettropop,,Dance pop","1_platino","dk"
"How You Remind Me","Nickelback","21 agosto 2001","3:43","Post-grunge,,Rock alternativo","1_platino","dk"
"In My Blood","Shawn Mendes","22 marzo 2018","3:31","Pop rock","1_platino","dk"
"I Want You to Know","Zedd","23 febbraio 2015","3:58","Electro house","1_platino","dk"
"I'm Not the Only One","Sam Smith","31 agosto 2014","3:59","Pop,,Pop soul","1_platino","dk"
"I Know What You Did Last Summer","Shawn Mendes,Camila Cabello","18 novembre 2015","3:43","Pop,,Power pop","1_platino","dk"
"Kamikaze","MØ","15 ottobre 2015  (vedi date di pubblicazione)","3:30","Indie pop,,Alternative dance,,Elettropop","1_platino","dk"
"If You Had My Love","Jennifer Lopez","4 maggio 1999","4:25","Contemporary R&B,,Dance","1_platino","dk"
"I'll Show You","Justin Bieber","2 novembre 2015","3:19","","1_platino","dk"
"Higher Love","Kygo,Whitney Houston","28 giugno 2019","3:48","Tropical house","1_platino","dk"
"In Your Eyes","The Weeknd","24 marzo 2020","3:57","Post-disco,,Synth pop","1_platino","dk"
"IDGAF","Dua Lipa","12 gennaio 2018","3:38","Pop","1_platino","dk"
"It Ain't Me","Kygo,Selena Gomez","16 febbraio 2017","3:40","Tropical house","1_platino","dk"
"If I Can't Have You","Shawn Mendes","3 maggio 2019","3:10","Pop rock","1_platino","dk"
"Just Lose It","Eminem","28 settembre 2004","4:08","Comedy hip hop","1_platino","dk"
"I Like It","Cardi B,Bad Bunny,J Balvin","25 maggio 2018  (vedi date di pubblicazione)","4:13","Latin trap","1_platino","dk"
"Lean On","Major Lazer,DJ Snake","2 marzo 2015","2:56","Moombahton,,Musica da ballo,,Bounce music","1_platino","dk"
"If I Were a Boy","Beyoncé","8 ottobre 2008","4:10","Pop","1_platino","dk"
"Lay Me Down","Sam Smith","15 febbraio 2013","4:13","Soul","1_platino","dk"
"Lady Marmalade","Christina Aguilera","27 marzo 2001","4:25","Contemporary R&B,,Pop rap","1_platino","dk"
"Let Me Down Slowly","Alec Benjamin","25 maggio 2018","2:49","Pop","1_platino","dk"
"Little Things","One Direction","29 ottobre 2012","3:37","Pop,,Folk pop","1_platino","dk"
"Lie","Lukas Graham","27 settembre 2019","2:59","Pop","1_platino","dk"
"Location","Khalid","26 agosto 2016","3:37","Contemporary R&B,,Alternative R&B","1_platino","dk"
"Lay It All on Me","Rudimental","25 settembre 2015","4:02,(versione album),,3:30,(versione radiofonica)","Dance pop","1_platino","dk"
"Live While We're Young","One Direction","28 settembre 2012","3:18","Bubblegum pop","1_platino","dk"
"Intentions","Justin Bieber","7 febbraio 2020","3:32","Contemporary R&B","1_platino","dk"
"Like I'm Gonna Lose You","Meghan Trainor","23 giugno 2015","3:45","Contemporary R&B,,Soul","1_platino","dk"
"Lost in Japan","Shawn Mendes,Zedd","23 marzo 2018","3:20","Funk,,Pop,,Rhythm and blues","1_platino","dk"
"Lonely Together","Avicii","11 agosto 2017","3:01","Progressive house","1_platino","dk"
"Jingle Bell Rock","Bobby Helms","1957","2:07","Musica natalizia,,Rockabilly","1_platino","dk"
"The Lazy Song","Bruno Mars","15 febbraio 2011","3:08","Reggae fusion","1_platino","dk"
"King","Years & Years","27 febbraio 2015","3:34","Elettropop,,Musica house","1_platino","dk"
"In My Feelings","Drake","10 luglio 2018","3:37","Bounce","1_platino","dk"
"Jackie Chan","Tiësto,Dzeko","18 maggio 2018","3:35","Elettropop","1_platino","dk"
"The Middle","Zedd,Maren Morris,Grey","23 gennaio 2018","3:04","Pop,,Dance pop","1_platino","dk"
"Lovely","Billie Eilish,Khalid","19 aprile 2018","3:20","Indie pop","1_platino","dk"
"Me, Myself & I","G-Eazy,Bebe Rexha","14 ottobre 2015","4:04","Pop rap,,Alternative hip hop","1_platino","dk"
"Malibu","Miley Cyrus","11 maggio 2017","3:51","Country pop","1_platino","dk"
"My Only Wish (This Year)","Britney Spears","14 novembre 2000","4:15","Teen pop","1_platino","dk"
"Low","Flo Rida","19 giugno 2007","3:49","Elettrorap","1_platino","dk"
"Man in the Mirror","Michael Jackson","16 gennaio 1988","4:55,,(7"" Edit),,5:19,,(Album Version)","Pop,,Soul,,Ballata,,Gospel","1_platino","dk"
"Mine","Bazzi","12 ottobre 2017","2:13","Pop","1_platino","dk"
"The Man Who Can't Be Moved","The Script","25 luglio 2008","4:03","Pop rock,,Soul bianco","1_platino","dk"
"Meant to Be","Bebe Rexha","24 ottobre 2017","2:43","Country pop","1_platino","dk"
"Mercy","Duffy","11 febbraio 2008","3:43","Soul,,Pop","1_platino","dk"
"Moonlight","XXXTentacion","14 agosto 2018","2:15","Emo rap,,Alternative R&B,,Pop rap","1_platino","dk"
"Loyal","Chris Brown","19 dicembre 2013","4:24","Contemporary R&B,,Southern hip hop,,Gangsta rap","1_platino","dk"
"Marvin Gaye","Charlie Puth","10 febbraio 2015","3:07","Pop","1_platino","dk"
"No Church in the Wild","Jay-Z,Kanye West","20 marzo 2012","4:32","Alternative hip hop,,Alternative R&B","1_platino","dk"
"Never Forget You","Zara Larsson,MNEK","22 luglio 2015","3:33","Dance,,Elettropop","1_platino","dk"
"Love the Way You Lie","Eminem","9 agosto 2010","4:23","Alternative hip hop,,Pop rap","1_platino","dk"
"No Type","Rae Sremmurd","15 settembre 2014","3:21","Trap","1_platino","dk"
"Memories","Maroon 5","20 settembre 2019","3:09","Pop","1_platino","dk"
"My House","Flo Rida","15 ottobre 2015","3:12","Pop rap","1_platino","dk"
"No Diggity","Blackstreet","settembre 1996","5:03","Rhythm and blues,,Hip hop soul","1_platino","dk"
"Mask Off","Future","18 aprile 2017","3:23","Trap","1_platino","dk"
"Mr. Saxobeat","Alexandra Stan","12 settembre 2010  (vedi date di pubblicazione)","3:15","Musica house","1_platino","dk"
"Mood","24kGoldn","24 luglio 2020  (vedi date di pubblicazione)","2:22","","1_platino","dk"
"No Promises","Cheat Codes","31 marzo 2017","3:43","Electronic dance music","1_platino","dk"
"Nice for What","Drake","6 aprile 2018","3:30","Hip hop","1_platino","dk"
"Nevermind","Dennis Lloyd","5 dicembre 2016 versione originale - 14 luglio 2017 versione Alternative Mix","2:36","Deep house","1_platino","dk"
"Needed Me","Rihanna","30 marzo 2016","3:11","Dubstep,,Elettropop","1_platino","dk"
"Pilgrim","MØ","15 marzo 2013","3:52","Musica elettronica,,Synth pop","1_platino","dk"
"No Tears Left to Cry","Ariana Grande","20 aprile 2018","3:25","Contemporary R&B,,Dance,,Dance pop,,Disco","1_platino","dk"
"Nothing Else Matters","Metallica","20 aprile 1992","6:29","Power ballad","1_platino","dk"
"Not a Damn Thing Changed","Lukas Graham","12 ottobre 2018","3:13","Pop","1_platino","dk"
"Numb","Linkin Park","8 settembre 2003","3:06","Alternative metal","1_platino","dk"
"No One","Alicia Keys","10 settembre 2007","4:13","Soul,,Contemporary R&B","1_platino","dk"
"Not Afraid","Eminem","29 aprile 2010","4:19","Pop rap","1_platino","dk"
"Paradise","Coldplay","12 settembre 2011","4:39","Britpop","1_platino","dk"
"Numb/Encore","Jay-Z,Linkin Park","30 novembre 2004","3:25","Rap rock","1_platino","dk"
"Piece of Your Heart","Meduza","1º febbraio 2019","2:32","Electronic dance music","1_platino","dk"
"Passionfruit","Drake","28 marzo 2017","4:59","Pop,,Dancehall reggae,,Tropical house","1_platino","dk"
"Post Malone","Sam Feldt","24 maggio 2019","2:54","Tropical house","1_platino","dk"
"Party in the U.S.A.","Miley Cyrus","11 agosto 2009","3:22","Pop rock,,Pop,,Teen pop","1_platino","dk"
