"title","artists","date","duration","genre","award","nation"
"Beautiful People","Ed Sheeran","28 giugno 2019","3:17","Pop soul","3_platino","can"
"Black and Yellow","Wiz Khalifa","14 settembre 2010","3:37","Elettrorap","3_platino","can"
"Bad Blood","Taylor Swift","17 maggio 2015","3:31","Elettropop","3_platino","can"
"Airplanes","B.o.B","13 aprile 2010","3:01","Alternative hip hop,,Rap rock","3_platino","can"
"Bad at Love","Halsey","22 agosto 2017","3:01","Elettropop","3_platino","can"
"Budapest","George Ezra","13 dicembre 2013","3:21","Folk,,Blues,,Pop rock","3_platino","can"
"Call Out My Name","The Weeknd","10 aprile 2018","3:48","Alternative R&B,,Soul","3_platino","can"
"Break Your Heart","Taio Cruz","14 settembre 2009","3:23","Dance pop","3_platino","can"
"Blow Me (One Last Kiss)","Pink","3 luglio 2012","4:16","Dance rock","3_platino","can"
"Break Up with Your Girlfriend, I'm Bored","Ariana Grande","12 febbraio 2019","3:10","Pop,,Contemporary R&B,,Trap","3_platino","can"
"Bury a Friend","Billie Eilish","30 gennaio 2019","3:13","Musica elettronica,,Industrial","3_platino","can"
"Boyfriend","Justin Bieber","26 marzo 2012","2:52","Elettropop","3_platino","can"
"Back in Time","Pitbull","26 marzo 2012","3:25","Hip house,,Dubstep","3_platino","can"
"Broccoli","DRAM","6 aprile 2016","3:38","Trap","3_platino","can"
"Cold","Maroon 5","14 febbraio 2017","3:54","Pop,,Musica elettronica,,Dancehall reggae","3_platino","can"
"Don't You Worry Child","Swedish House Mafia","14 settembre 2012","3:32,(radio edit),,6:43,(extended mix)","Progressive house,,Electronic dance music","3_platino","can"
"Ball for Me","Post Malone","8 maggio 2018","3:27","Hip hop","3_platino","can"
"Break Free","Ariana Grande","3 luglio 2014","3:34","Electronic dance music","3_platino","can"
"Cold Water","Major Lazer","22 luglio 2016","3:05","Dance pop,,Deep house","3_platino","can"
"Chandelier","Sia","17 marzo 2014","3:36","Elettropop","3_platino","can"
"Beauty and a Beat","Justin Bieber","24 ottobre 2012","3:48","Elettropop,,Dance","3_platino","can"
"Fight Song","Rachel Platten","19 febbraio 2015","3:22","Pop,,Power pop","3_platino","can"
"Drag Me Down","One Direction","31 luglio 2015","3:12","Pop rock","3_platino","can"
"All I Want for Christmas Is You","Mariah Carey","1º novembre 1994","4:01","","3_platino","can"
"Gold","Kiiara","26 ottobre 2015","3:45","Trap,,Glitch,,Elettropop","3_platino","can"
"Chained to the Rhythm","Katy Perry","10 febbraio 2017","3:57","Elettropop","3_platino","can"
"Hey There Delilah","Plain White T's","8 maggio 2006    3 settembre 2007  ","3:52","Folk","3_platino","can"
"I Hope","Gabby Barrett","29 luglio 2019","3:29","Country","3_platino","can"
"Drowning (Water)","A Boogie wit da Hoodie","10 marzo 2017","3:29","Trap,,Cloud rap","3_platino","can"
"Here","Alessia Cara","30 aprile 2015","3:19","Alternative R&B,,Pop","3_platino","can"
"I Bet My Life","Imagine Dragons","27 ottobre 2014","3:12","Pop rock,,Indie folk","3_platino","can"
"Drive By","Train","10 gennaio 2012","3:16","Pop rock,,Roots rock,,Folk rock","3_platino","can"
"I'm Yours","Jason Mraz","12 febbraio 2008    30 maggio 2008   2 giugno 2008 ","3:35","Pop,,Folk rock,,Musica acustica,,Reggae,,Punk rock","3_platino","can"
"Him & I","G-Eazy,Halsey","5 dicembre 2017","4:28","Hip hop","3_platino","can"
"Happier","Ed Sheeran","27 aprile 2018","3:26","Pop","3_platino","can"
"Con calma","Daddy Yankee","24 gennaio 2019","3:12","Reggaeton,,Dancehall reggae","3_platino","can"
"Forever","Chris Brown","22 aprile 2008","4:38","Eurodance,,Eurodisco,,Dance pop","3_platino","can"
"Hymn for the Weekend","Coldplay","5 febbraio 2016","4:18","Pop","3_platino","can"
"Lemonade","AA.VV.,Gunna","14 agosto 2020","3:15","Hip hop","3_platino","can"
"In My Head","Jason Derulo","22 febbraio 2010","3:21","Contemporary R&B,,Rock elettronico","3_platino","can"
"Hey Mama","David Guetta","16 marzo 2015","3:12","Trap,,Electro house,,Dance pop","3_platino","can"
"I Just Called to Say I Love You","Stevie Wonder","1º agosto 1984","4:16","Synth pop,,Pop soul","3_platino","can"
"It's Time","Imagine Dragons","6 febbraio 2012","4:00","Indie rock,,Rock alternativo","3_platino","can"
"Lips Are Movin","Meghan Trainor","21 ottobre 2014","3:01","Bubblegum pop,,Doo-wop","3_platino","can"
"Lalala","Y2K,,bbno$","7 giugno 2019","2:40","Trap","3_platino","can"
"It Will Rain","Bruno Mars","27 settembre 2011","4:17","Soul,,Soft rock,,Contemporary R&B","3_platino","can"
"I Need Your Love","Calvin Harris","12 aprile 2013","3:54","Electro house,,Synth pop,,Dance pop","3_platino","can"
"Lost in Japan","Shawn Mendes,Zedd","23 marzo 2018","3:20","Funk,,Pop,,Rhythm and blues","3_platino","can"
"In the Name of Love","Martin Garrix,Bebe Rexha","29 luglio 2016","3:19","Future bass","3_platino","can"
"Feels","Calvin Harris","16 giugno 2017","3:43","Disco,,Ska","3_platino","can"
