"title","artists","date","duration","genre","award","nation"
"Issues","Julia Michaels","13 gennaio 2017","2:56","Pop","6_platino","can"
"The Box","Roddy Ricch","17 gennaio 2020","3:16","Trap","6_platino","can"
"Location","Khalid","26 agosto 2016","3:37","Contemporary R&B,,Alternative R&B","6_platino","can"
"I Fall Apart","Post Malone","17 ottobre 2017","3:43","Hip hop","6_platino","can"
"The A Team","Ed Sheeran","1º maggio 2011  (vedi date di pubblicazione)","4:18","Pop","6_platino","can"
"Blurred Lines","Robin Thicke","26 marzo 2013","4:22","Pop rap,,Contemporary R&B","6_platino","can"
"Feel It Still","Portugal. The Man","3 marzo 2017","2:43","Pop psichedelico,,Funk","6_platino","can"
"Firework","Katy Perry","26 ottobre 2010","3:47","Dance pop,,Dance rock","6_platino","can"
"Castle on the Hill","Ed Sheeran","6 gennaio 2017","4:21","Folk pop,,Rock","6_platino","can"
"Just Give Me a Reason","Pink","5 febbraio 2013","4:03","Pop","6_platino","can"
"Goosebumps","Travis Scott","13 dicembre 2016","4:03","Trap","6_platino","can"
"Me, Myself & I","G-Eazy,Bebe Rexha","14 ottobre 2015","4:04","Pop rap,,Alternative hip hop","6_platino","can"
"Hot n Cold","Katy Perry","30 settembre 2008","3:40","Dance pop","6_platino","can"
"Ransom","Lil Tecca","22 maggio 2019","2:11","Hip hop","6_platino","can"
"Can't Stop the Feeling!","Justin Timberlake","6 maggio 2016","3:56","Disco,,Funk,,Soul","6_platino","can"
"Ride","Twenty One Pilots","12 maggio 2015","3:34","Reggae","6_platino","can"
"I Don't Care","Ed Sheeran,Justin Bieber","10 maggio 2019","3:39","Elettropop","6_platino","can"
"Grenade","Bruno Mars","28 settembre 2010","3:42","Pop,,Contemporary R&B","6_platino","can"
"Lose Yourself","Eminem","28 ottobre 2002","5:27","Rap rock,,Conscious hip hop","6_platino","can"
"Turn Down for What","DJ Snake,Lil Jon","18 dicembre 2013","3:33","Trap,,Electronic dance music,,Crunk","6_platino","can"
"Say Something","A Great Big World","3 settembre 2013  (vedi date di pubblicazione)","3:49","Ballata","6_platino","can"
"Party Rock Anthem","LMFAO","8 marzo 2011","4:08","Electro house,,Hip house","6_platino","can"
"I Like It","Cardi B,Bad Bunny,J Balvin","25 maggio 2018  (vedi date di pubblicazione)","4:13","Latin trap","6_platino","can"
"Happier","Marshmello,Bastille","17 agosto 2018","3:34","Electronic dance music","6_platino","can"
"There's Nothing Holdin' Me Back","Shawn Mendes","21 aprile 2017","3:19","Pop rock","6_platino","can"
"Roses","The Chainsmokers","16 giugno 2015","3:46","Synth pop","6_platino","can"
"What Do You Mean?","Justin Bieber","28 agosto 2015","3:27","Tropical house","6_platino","can"
"Riptide","Vance Joy","21 maggio 2013","3:22","Indie pop","6_platino","can"
"Just Dance","Lady Gaga","8 aprile 2008","4:02","","6_platino","can"
"Shake It Off","Taylor Swift","18 agosto 2014","3:39","Dance pop","6_platino","can"
"Treat You Better","Shawn Mendes","3 giugno 2016  (vedi date di pubblicazione)","3:07","Pop","6_platino","can"
"Thunder","Imagine Dragons","27 aprile 2017","3:07","Elettropop","6_platino","can"
"Something Just Like This","The Chainsmokers,Coldplay","22 febbraio 2017","4:07","Elettropop","6_platino","can"
"Truth Hurts","Lizzo","19 settembre 2017","2:53","Hip hop","6_platino","can"
"Bad Guy","Billie Eilish","29 marzo 2019","3:14","","6_platino","can"
"Young Dumb & Broke","Khalid","2 febbraio 2017","3:22","Contemporary R&B","6_platino","can"
