"title","artists","date","duration","genre","award","nation"
"Shotgun","George Ezra","18 maggio 2018","3:26","Folk rock","5_platino","uk"
"Mr. Brightside","The Killers","29 settembre 2003","3:42","Rock alternativo,,Pop rock,,New wave","5_platino","uk"
"All of Me","John Legend","12 agosto 2013","4:29","Ballata","5_platino","uk"
"Happy","Pharrell Williams","21 novembre 2013","3:53","Neo soul,,Funk,,Soul","5_platino","uk"
"Thinking Out Loud","Ed Sheeran","7 novembre 2014","4:42","Soul bianco","5_platino","uk"
"One Dance","Drake","5 aprile 2016","2:54","Dancehall reggae","5_platino","uk"
"Someone You Loved","Lewis Capaldi","8 novembre 2018","3:02","Ballata","5_platino","uk"
"Wonderwall","Oasis","30 ottobre 1995","4:19","Britpop,,Rock alternativo","5_platino","uk"
"Despacito","Luis Fonsi","13 gennaio 2017  (vedi date di pubblicazione)","3:47","Pop latino,,Reggaeton","5_platino","uk"
