"title","artists","date","duration","genre","award","nation"
"Shotgun","George Ezra","18 maggio 2018","3:26","Folk rock","9_platino","au"
"Castle on the Hill","Ed Sheeran","6 gennaio 2017","4:21","Folk pop,,Rock","9_platino","au"
"Riptide","Vance Joy","21 maggio 2013","3:22","Indie pop","9_platino","au"
"Love the Way You Lie","Eminem","9 agosto 2010","4:23","Alternative hip hop,,Pop rap","9_platino","au"
"This Is What You Came For","Calvin Harris","29 aprile 2016","3:41","Electronic dance music","9_platino","au"
"Tik Tok","Kesha","7 agosto 2009","3:20","Elettropop","9_platino","au"
"Shallow","Lady Gaga,Bradley Cooper","27 settembre 2018","3:37","Country,,Folk pop","9_platino","au"
