"title","artists","date","duration","genre","award","nation"
"Basta poco","Vasco Rossi","19 gennaio 2007","4:34","Pop rock","5_platino","it"
"Amore e capoeira","Takagi & Ketra","1º giugno 2018","2:52","Dancehall reggae","5_platino","it"
"Est-ce que tu m'aimes?","Maître Gims","28 aprile 2015","4:01","Pop,,Chanson","5_platino","it"
"7 Years","Lukas Graham","18 settembre 2015","3:59","Pop soul","5_platino","it"
"Andiamo a comandare","Fabio Rovazzi","28 febbraio 2016","2:47","Electronic dance music,,Musica demenziale","5_platino","it"
"Chandelier","Sia","17 marzo 2014","3:36","Elettropop","5_platino","it"
"Firestone","Kygo","1º dicembre 2014","4:33","Deep house,,Tropical house","5_platino","it"
"Il cielo nella stanza","Salmo","23 novembre 2018","3:06","Pop rap","5_platino","it"
"Apologize","Timbaland","6 novembre 2007","3:06","Contemporary R&B,,Pop rock","5_platino","it"
"Balada","Gusttavo Lima","21 gennaio 2011 13 aprile 2012  ","3:23","Musica latina,,Pop,,Musica leggera","5_platino","it"
"Jubel","Klingande","10 settembre 2013","3:20","Deep house,,Tropical house","5_platino","it"
"Demons","Imagine Dragons","7 maggio 2013","2:57","Indie rock","5_platino","it"
"Fast Car","Tracy Chapman","6 aprile 1988","4:56","Folk","5_platino","it"
"Let Me Love You","DJ Snake","5 agosto 2016","3:25","Electronic dance music,,Tropical house,,Dancehall reggae","5_platino","it"
"Believe","Cher","19 ottobre 1998","3:59","Dance pop,,Eurodance,,Hi-NRG","5_platino","it"
"Get Lucky","Daft Punk","19 aprile 2013","6:07,(versione album),,4:08,(versione radiofonica)","Disco,,Funk","5_platino","it"
"Light It Up (Remix)","Major Lazer","5 novembre 2015","2:46","Elettropop","5_platino","it"
"Believer","Imagine Dragons","31 gennaio 2017","3:23","Indietronica,,Rock alternativo","5_platino","it"
"Love Me like You Do","Ellie Goulding","7 gennaio 2015","4:12","Elettropop","5_platino","it"
"Can't Hold Us","Macklemore & Ryan Lewis","17 aprile 2013","4:18","Hipster hop,,Alternative hip hop,,Pop rap","5_platino","it"
"Don't Stop the Music","Rihanna","7 settembre 2007","4:27","Dance pop,,Techno","5_platino","it"
"Ginza","J Balvin","21 luglio 2015","2:52","Reggaeton","5_platino","it"
"La paranza","Daniele Silvestri","27 febbraio 2007","4:06","Musica latina,,Pop","5_platino","it"
"I Took a Pill in Ibiza","Mike Posner","24 luglio 2015","4:42,(versione originale),,3:19,(SeeB Remix)","Pop,,Deep house,,(remix)","5_platino","it"
"Stitches","Shawn Mendes","5 maggio 2015","3:27","Country pop","5_platino","it"
"Ti ho voluto bene veramente","Marco Mengoni","16 ottobre 2015","2:49","Ballata","5_platino","it"
"Prayer in C","Lilly Wood and the Prick","6 giugno 2014","3:09","Deep house,,Dance","5_platino","it"
"Súbeme la radio","Enrique Iglesias","24 febbraio 2017","3:28","Pop latino","5_platino","it"
"A Sky Full of Stars","Coldplay","2 maggio 2014  (vedi date di pubblicazione)","4:28,(versione album),,3:56,(versione radiofonica)","Electronic dance music,,Dance pop","5_platino","it"
"See You Again","Wiz Khalifa","10 marzo 2015","3:49","Pop rap","5_platino","it"
"Torna a casa","Måneskin","28 settembre 2018","3:50","Pop rock","5_platino","it"
"We Don't Talk Anymore","Charlie Puth","24 maggio 2016","3:37","Tropical house","5_platino","it"
"Una volta ancora","Fred De Palma","7 giugno 2019","2:54","","5_platino","it"
"Mi gente","J Balvin,Willy William","30 giugno 2017","3:09","Pop latino,,Reggaeton","5_platino","it"
"Stressed Out","Twenty One Pilots","28 aprile 2015","3:22","Alternative hip hop","5_platino","it"
"Tran Tran","Sfera Ebbasta","9 giugno 2017","3:40","Trap","5_platino","it"
"Thunder","Imagine Dragons","27 aprile 2017","3:07","Elettropop","5_platino","it"
"What Do You Mean?","Justin Bieber","28 agosto 2015","3:27","Tropical house","5_platino","it"
"Voglio ballare con te","Baby K","2 giugno 2017","2:46","Pop latino","5_platino","it"
"Mr. Saxobeat","Alexandra Stan","12 settembre 2010  (vedi date di pubblicazione)","3:15","Musica house","5_platino","it"
"This Is What You Came For","Calvin Harris","29 aprile 2016","3:41","Electronic dance music","5_platino","it"
"Wake Me Up","Avicii","17 giugno 2013","4:09","Progressive house,,Alternative dance,,Folktronica","5_platino","it"
